3300.0,1.95797
3302.0,1.95161
3304.0,1.8746
3306.0,1.82467
3308.0,1.89843
3310.0,2.22575
3312.0,2.43244
3314.0,2.12986
3316.0,2.093
3318.0,1.821
3320.0,2.10414
3322.0,2.47354
3324.0,2.25349
3326.0,2.13365
3328.0,2.16965
3330.0,1.9887
3332.0,1.94074
3334.0,2.01721
3336.0,2.16991
3338.0,2.14284
3340.0,2.17349
3342.0,2.31769
3344.0,2.42452
3346.0,2.21197
3348.0,2.27915
3350.0,2.48152
3352.0,2.49124
3354.0,2.52151
3356.0,2.57571
3358.0,2.49301
3360.0,2.39788
3362.0,2.33453
3364.0,2.61691
3366.0,2.62944
3368.0,1.71312
3370.0,2.12052
3372.0,2.56591
3374.0,2.53823
3376.0,2.72091
3378.0,2.72732
3380.0,2.82685
3382.0,2.83805
3384.0,2.90086
3386.0,2.86422
3388.0,2.84192
3390.0,2.8775
3392.0,3.00233
3394.0,3.05857
3396.0,3.01556
3398.0,3.11041
3400.0,2.94725
3402.0,2.93726
3404.0,3.09791
3406.0,3.12696
3408.0,3.01528
3410.0,3.09821
3412.0,3.04651
3414.0,3.07471
3416.0,2.85199
3418.0,2.78033
3420.0,2.83606
3422.0,2.83548
3424.0,2.75813
3426.0,2.70949
3428.0,2.72459
3430.0,2.66489
3432.0,2.71983
3434.0,2.69652
3436.0,2.6882
3438.0,2.57359
3440.0,2.71096
3442.0,2.77278
3444.0,2.70702
3446.0,2.72362
3448.0,2.81262
3450.0,2.99511
3452.0,2.89387
3454.0,2.9301
3456.0,3.10569
3458.0,3.09625
3460.0,2.91747
3462.0,3.0397
3464.0,2.95791
3466.0,2.99551
3468.0,3.04267
3470.0,3.11555
3472.0,3.14446
3474.0,3.20826
3476.0,3.01406
3478.0,3.02978
3480.0,3.22539
3482.0,3.24983
3484.0,3.17437
3486.0,3.11055
3488.0,3.11569
3490.0,3.19943
3492.0,3.09625
3494.0,3.01363
3496.0,3.0319
3498.0,3.16426
3500.0,3.20507
3502.0,3.39009
3504.0,3.24019
3506.0,3.21941
3508.0,3.12383
3510.0,3.22042
3512.0,3.15136
3514.0,3.04811
3516.0,3.10899
3518.0,3.1692
3520.0,3.14063
3522.0,3.06502
3524.0,3.11995
3526.0,3.01369
3528.0,3.09808
3530.0,3.02859
3532.0,2.9555
3534.0,2.95984
