3314.0,2.07071
3316.0,2.56653
3318.0,2.37141
3320.0,2.03421
3322.0,2.60796
3324.0,2.28465
3326.0,2.78199
3328.0,2.6948
3330.0,2.52268
3332.0,2.51991
3334.0,2.56268
3336.0,2.78714
3338.0,2.6514
3340.0,2.52001
3342.0,2.48657
3344.0,2.22889
3346.0,2.22159
3348.0,2.18348
3350.0,2.14966
3352.0,2.26781
3354.0,2.19983
3356.0,2.13186
3358.0,2.06388
3360.0,1.9959
3362.0,1.9959
3364.0,2.23094
3366.0,2.68065
3368.0,2.52716
3370.0,3.07967
3372.0,2.48651
3374.0,2.66949
3376.0,2.83735
3378.0,2.7081
3380.0,2.67779
3382.0,2.68813
3384.0,2.76351
3386.0,2.5972
3388.0,2.74404
3390.0,2.55976
3392.0,2.642
3394.0,2.64929
3396.0,2.6472
3398.0,2.62922
3400.0,2.67749
3402.0,2.62432
3404.0,2.56535
3406.0,3.07784
3408.0,3.47394
3410.0,2.64403
3412.0,2.86089
3414.0,3.13432
3416.0,3.11565
3418.0,3.16914
3420.0,3.03134
3422.0,3.15079
3424.0,3.29068
3426.0,3.5921
3428.0,3.26758
3430.0,2.86517
3432.0,2.76613
3434.0,2.90774
3436.0,3.08744
3438.0,3.02581
3440.0,3.19797
3442.0,3.01742
3444.0,2.96579
3446.0,2.94295
3448.0,3.0327
3450.0,3.05194
3452.0,3.24318
3454.0,3.05693
3456.0,3.10891
3458.0,3.21695
3460.0,3.67303
3462.0,3.53294
3464.0,3.29665
3466.0,3.3245
3468.0,3.67498
3470.0,3.48582
3472.0,3.68222
3474.0,3.66711
3476.0,3.6448
3478.0,3.68768
3480.0,3.86396
3482.0,3.88946
3484.0,3.90705
3486.0,3.62822
3488.0,3.74546
3490.0,4.10247
3492.0,4.15142
3494.0,4.04672
3496.0,3.82475
3498.0,3.86191
3500.0,4.05213
3502.0,3.74708
3504.0,3.68235
3506.0,3.81915
3508.0,3.73144
3510.0,3.92864
3512.0,4.05263
