SN_name,RA,DEC,redshift,host_name,Host_RA,Host_DEC,logd25,e_logd25,logr25,e_logr25,pa,t,t_err,host_type,host_mag,mu,R_host,ratio,ratio_err,SN_type,EW6355,EW6355_err,EW5972,EW5972_err,min6355,min6355_err,min5972,dep6355,dep5972,v_si,v_si_err,R_si,D15,D15_err,phase,filename_csv,Del_Lambda,umap_x,umap_y,DB_label
SN2002bo,154.52713,21.82825,0.0043,NGC3190,154.5260505,21.8326815,1.561,0.022,0.475,0.029,123.52,0.9,0.6,Sa,-20.535,31.93,12.638518271365694,0.3276170734897327,0.0170235970350071,HV,145.8480221,0.341500622,17.98587232,0.648318128,6078.144811,1.52759735,5764.764765,0.6956594,0.110272053,1.306948176,0.01,0.15851443,1.08,0.04,-1.83,SN2002bo_2002-03-22_04-04-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.49299144,5.8594766,10.548705,3
SN2002cd,305.89342,58.3465,0.0104,NGC6916,305.8877505,58.3440278,1.216,0.044,0.169,0.039,89.0,4.0,0.3,SBbc,-20.143,33.306,15.772340298383147,0.3412115582701773,0.0363812674796823,HV,121.2685848,0.854157429,8.725620946,0.717024048,6043.977311,0.998774077,5712.712713,0.67952852,0.089309271,1.468242436,0.0,0.13142829,0.84,0.05,0.28,2002cd_2002-04-19_11-31-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.483974945,5.231805,10.933419,3
SN2002cf,193.63042,-6.85689,0.0154,NGC4786,193.6350045,-6.8594493,1.3,0.031,0.119,0.022,169.47,-4.3,0.5,E,-21.624,34.107,20.09537591950192,0.3755315784493446,0.027785360805047,91bg,123.5650961,0.303104749,59.23982461,0.357356223,6132.599266,0.885318596,5772.772773,0.66494822,0.466458,1.049885448,0.0,0.701495223,1.78,0.11,-0.8,SN_2002cf_2002-04-20_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.968918541,8.537673,8.085695,2
SN2002ck,236.75312,-0.99042,0.0298,UGC10030,236.75175,-0.9851433,1.116,0.035,0.271,0.022,168.99,2.3,0.6,Sab,-21.214,35.475,25.275288852145497,0.5032154051376371,0.0422333160411314,NV,68.61389237,0.678363468,11.53361435,0.620724632,6140.540541,0.917432572,5794.794795,0.602670662,0.103036611,1.012397134,0.0,0.170966694,1.08,0.09,0.34,2002ck_2002-05-03_08-09-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.456021852,5.184553,6.023188,1
SN2002cr,211.65662,-5.43942,0.0094,NGC5468,211.6454295,-5.4529933,1.36,0.025,0.029,0.024,155.0,6.0,0.3,SABc,-20.636,33.403,16.30407401790533,0.971750426056006,0.0575798326864358,NV,104.4940706,0.198812822,19.78085439,0.230205382,6146.546547,1.173066122,5778.778779,0.660259877,0.182156291,0.984044627,0.01,0.27588575,1.19,0.06,0.68,2002cr_2002-05-15_06-43-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.48544832,7.4318666,6.395868,2
SN2002cx,198.45717,6.95886,0.024,PGC045981,198.4552005,6.9626618,0.85,0.066,0.25,0.028,146.75,5.1,2.6,Sc,-21.007,36.075,17.0096792054202,0.7332448721487302,0.1203445694513743,Iax,34.45983691,1.875494317,23.3920137,1.382924266,6238.238238,10.19187477,5810.810811,0.201631241,0.195609118,0.551196358,0.05,0.970132985,1.51,0.09,-1.52,2002cx_2002-05-20_04-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.464268851,2.6912184,5.4291778,0
SN2002de,244.12658,35.70839,0.028,NGC6104,244.1278095,35.7081034,0.942,0.05,0.102,0.025,62.03,3.0,2.4,SBb,-21.774,35.723,17.91827195960595,0.1617408574040508,0.0197353694179165,NV,86.53380427,0.810808673,16.95622457,1.268627052,6112.045379,0.998774077,5754.754755,0.601836562,0.158906538,1.146914027,0.0,0.264036032,0.96,0.04,-0.13,SN_2002de_2002-06-08_08-58-33_Lick-3m_KAST_UCB-SNDB_0.csv,1.944759798,5.0886045,7.0523562,1
SN2002es,50.94679,40.56486,0.018,UGC02708,50.9535225,40.5577986,1.033,0.049,0.029,0.026,0.0,-2.0,0.4,S0,-19.951,34.448,14.835292955598842,0.9932937981824644,0.1186369089159612,91bg,74.76149901,0.392450314,41.06116902,0.372560896,6227.09376,2.365037724,5854.854855,0.437480805,0.27629978,0.603806009,0.01,0.631570065,9.99,9.99,1.7,SN_2002es_2002-09-03_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.963516084,2.839915,5.735663,0
SN2002fb,29.45375,36.34064,0.0156,NGC0759,29.4601455,36.3429959,1.05,0.046,0.024,0.027,10.0,-4.8,0.4,E,-20.782,34.163,12.743717238042311,0.6293826660759619,0.0703220124017602,91bg,108.2052643,1.000359588,44.38652516,0.932064116,6132.599266,1.361099637,5776.776777,0.640986965,0.29692931,1.049885448,0.01,0.463237673,1.77,0.11,0.34,2002fb_2002-09-12_10-33-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.476379778,8.405975,8.078745,2
SN2002fk,50.52379,-15.40089,0.0075,NGC1309,50.5273125,-15.4000556,1.373,0.032,0.029,0.032,175.0,3.9,0.6,Sbc,-20.949,32.678,12.198210957296524,0.1897765990032819,0.0145113081847294,NV,76.55732313,0.1330203,16.5194844,0.347372265,6147.213881,0.359370357,5848.848849,0.556614413,0.113844768,0.980894348,0.0,0.204530759,1.13,0.03,-1.46,2002fk_2002-09-29_10-33-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.488249432,4.610773,5.7103095,1
SN2002ha,311.82742,0.31267,0.0144,NGC6962,311.829471,0.3208274,1.435,0.024,0.131,0.022,68.97,1.7,0.6,SABa,-21.284,33.65,23.15773865707299,0.4620932653551074,0.0262549883618833,NV,109.6242668,0.159701881,27.61694323,0.268343552,6120.32032,1.760548009,5764.764765,0.653101648,0.228832299,1.107850573,0.01,0.35037777,1.22,0.04,-1.0,SN_2002ha_2002-11-02_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.97174913,6.6953297,7.431949,4
SN2002hd,133.51413,-7.18931,0.035,PGC024988,133.519584,-7.18325,1.076,0.047,0.182,0.024,55.93,-2.3,0.9,S0,-20.393,35.75,25.21715722210496,0.8499589176069584,0.0971456580600189,NV,111.7938673,0.78871274,26.24794167,0.945169462,6126.326326,6.301272811,5746.746747,0.680790365,0.256916198,1.079498066,0.03,0.377379309,1.16,0.11,0.52,2002hd_2002-10-29_12-28-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.448706573,7.487657,8.479268,2
SN2002he,124.99513,62.82033,0.0246,UGC04322,125.007333,62.8305,1.155,0.037,0.171,0.024,51.82,-4.9,0.4,E,-20.529,35.17,23.53402055289488,1.0598596913127354,0.0942534212687852,HV,121.9279487,0.148577359,21.80973471,0.196176084,6094.027361,0.998774077,5752.752753,0.702856922,0.184748136,1.231971547,0.0,0.262853121,1.44,0.06,0.0,SN_2002he_2002-11-08_00-00-00_Keck1_LRIS_UCB-SNDB_0.csv,1.951443228,5.4749155,9.961926,3
SN2002hu,34.58358,37.46633,0.0374,PGC008796,34.576416,37.46425,0.802,0.065,0.104,0.03,82.5,4.8,3.0,Sc,-20.442,36.01,15.159892540674614,1.1628583416116671,0.1877418673458832,91T,75.11487935,1.06146375,10.92763688,1.000206665,6155.488822,3.939532104,5780.780781,0.506552021,0.111787379,0.941830895,0.02,0.220682919,1.05,0.03,-0.75,2002hu_2002-11-13_06-00-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.445355025,4.451131,5.800788,1
SN2002jy,20.31779,40.49869,0.0196,NGC0477,20.334816,40.4882148,1.191,0.048,0.45,0.028,135.46,5.0,0.4,Sc,-21.921,34.82,20.974717927770914,1.343145226640271,0.1569643134261401,NV,87.38904068,0.665759365,2.022306143,0.521262853,6128.995662,1.709209006,5782.782783,0.601650059,0.063256355,1.066896952,0.01,0.105138118,0.88,0.06,0.12,2002jy_2002-12-26_02-52-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.470587782,5.4801493,6.6304893,1
SN2003cg,153.56654,3.46736,0.004113,NGC3169,153.561621,3.4664709,1.637,0.038,0.214,0.052,48.65,1.2,0.5,Sa,-20.621,31.518,12.80254114245451,0.1661882094741693,0.0151963057881344,NV,94.899638,1.03492275,19.42705827,1.613037513,6120.053387,1.612685482,5770.770771,0.636259606,0.16573687,1.109110684,0.01,0.260486236,1.26,0.05,0.21,SN2003cg_2003-03-31_05-02-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.493269486,5.8599024,6.436613,1
SN2003ch,109.49133,9.69303,0.025,UGC03787,109.489875,9.6893889,0.936,0.068,0.21,0.028,180.0,-3.0,0.5,E-S0,-20.669,35.796,19.44894840341647,0.6008022568658432,0.1018356166621244,NV,104.8978165,1.292811484,22.57873361,1.224154392,6124.524525,10.26241666,5784.784785,0.604480416,0.153211038,1.088003818,0.05,0.253459061,1.22,0.07,-0.17,2003ch_2003-03-27_03-07-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.462840296,7.1129847,6.4818363,2
SN2003cq,179.05904,60.52197,0.0333,NGC3978,179.042988,60.5225796,1.198,0.055,0.034,0.04,45.1,3.8,0.6,SABb,-22.821,35.954,36.18229660243893,0.6312924904023416,0.0852313140570271,NV,129.4656398,1.601014777,26.61350224,1.500995853,6124.858192,1.984126626,5766.766767,0.655448929,0.251063002,1.086428679,0.01,0.383039762,1.2,0.06,0.22,2003cq_2003-04-10_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.451090006,6.0698466,9.239776,3
SN2003du,218.64917,59.33439,0.006408,UGC09391,218.6541345,59.3382333,0.98,0.05,0.097,0.035,29.75,8.1,0.5,Sd,-18.35,33.001,5.532177733495309,0.578958796505818,0.070643657454165,NV,83.13464456,1.203586031,9.679987484,0.139889219,6135.001668,0.499387039,5770.770771,0.575520733,0.086134314,1.038544445,0.0,0.149663268,1.07,0.06,-0.7,SN2003du_2003-05-05_07-12-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.489864253,5.5863757,6.235121,1
SN2003gq,343.33617,32.13267,0.0214,NGC7407,343.3380495,32.1291027,1.224,0.048,0.325,0.035,154.07,4.7,0.9,Sc,-21.716,34.95,24.64314490469377,0.2803859979964095,0.0327668183580543,Iax,37.95826395,0.0,49.70457094,1.31070259,6236.236236,1.001001001,5762.762763,0.242291933,0.203421112,0.560647193,0.0,0.839570305,1.69,0.19,-0.61,SN2003gq_2003-07-27_07-03-22_Lick-3m_KAST_UCB-SNDB.csv,1.957545309,2.7945,5.533682,0
SN2003it,1.45196,27.45267,0.0251,UGC00040,1.4516985,27.449222,1.029,0.087,0.207,0.048,97.55,3.3,1.3,SBb,-20.637,35.02,16.432215634051246,0.6239840779998476,0.1383994564486569,NV,100.3575234,0.459894352,19.33319704,0.446160395,6112.979646,0.499387039,5750.750751,0.631421611,0.183514099,1.142503637,0.0,0.290636393,1.36,0.09,-0.24,2003it_2003-10-22_06-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.462697593,5.4500537,8.016751,1
SN2003iv,42.53021,12.84625,0.0343,PGC010738,42.5368335,12.8436667,0.868,0.075,0.09,0.026,15.5,-5.0,2.0,E,-21.053,36.103,21.993589965247413,1.3886919961047963,0.2617715344897133,NV,108.8844054,1.099899552,32.38400968,1.080153854,6125.592259,0.846751921,5762.762763,0.718088405,0.23757384,1.082963372,0.0,0.33084205,1.65,0.07,0.38,2003iv_2003-10-22_09-07-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.449687038,7.3054585,7.887158,2
SN2003W,146.70617,16.04378,0.0201,UGC05234,146.706375,16.0428333,1.106,0.045,0.167,0.026,111.0,5.4,1.1,Sc,-20.683,34.981,18.96252327426708,0.1226012069084304,0.0133849641151752,HV,104.7153637,0.713001021,8.578709263,0.495699131,6078.745412,2.483522732,5792.792793,0.420599221,0.04111394,1.304112925,0.01,0.09775087,1.14,0.04,0.35,2003W_2003-02-10_08-24-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.469866977,4.9709377,10.749074,3
SN2004at,164.68825,59.48667,0.0223,PGC033043,164.698701,59.486759,0.594,0.261,0.38,0.062,84.01,3.6,2.2,Sbc,-20.223,35.187,6.082696141297121,1.6513751787265456,1.3605609126701248,NV,92.15596605,0.294259815,10.50082518,0.298511295,6134.267601,1.912118623,5772.772773,0.61290181,0.116856894,1.042009752,0.01,0.190661689,1.05,0.03,0.2,2004at_2004-03-28_04-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.466703808,6.3418736,6.380037,2
SN2004ef,340.54175,19.99456,0.030985,UGC12158,340.5437085,19.997,1.014,0.046,0.041,0.026,105.0,3.1,0.4,Sb,-20.6,35.475,19.619869986224305,0.3855260600180473,0.0430754925978828,HV,131.0974199,0.633933762,30.24080012,0.650979451,6102.102102,1.985248553,5740.740741,0.660489102,0.25193306,1.193853177,0.01,0.38143409,1.39,0.04,0.34,SN2004ef_2004-09-16_08-09-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.425288518,5.9409084,9.578595,3
SN2004fu,308.79808,64.80714,0.0092,NGC6949,308.778834,64.8027778,1.117,0.038,0.097,0.029,94.5,5.0,1.4,Sc,-19.673,32.737,9.574059721378909,0.9174854706801834,0.0838951801258418,HV,135.5455707,0.241479799,20.47463201,0.258924735,6103.370037,0.680549818,5744.744745,0.709108527,0.163688907,1.187867647,0.0,0.230837595,1.08,0.07,2.4,SN_2004fu_2004-11-19_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.981196235,5.9691906,9.825078,3
SN2004gs,129.59658,17.62772,0.0266,PGC024286,129.599403,17.6313588,0.816,0.064,0.074,0.028,41.58,-3.6,1.5,E,-20.567,35.524,12.545735379303814,0.8308715087501028,0.1319235814639618,NV,140.9539178,0.743037511,49.6463945,0.849879199,6125.658992,18.25326233,5766.766767,0.692064094,0.363017447,1.082648345,0.09,0.524543102,1.41,0.11,-0.31,2004gs_2004-12-16_11-45-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.431375068,7.734346,8.450431,2
SN2005am,139.05196,-16.30444,0.008386,NGC2811,139.046301,-16.3126793,1.476,0.04,0.471,0.03,20.86,1.1,0.4,SBa,-20.975,32.575,14.344854559213749,0.4623682858564085,0.0446084581732429,NV,131.3962336,0.304203422,32.5627186,0.431744545,6101.768435,2.984408378,5750.750751,0.680957579,0.272455725,1.195428316,0.01,0.400106752,1.3,0.05,0.25,SN2005am_2005-03-08_06-00-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.457229524,5.785311,9.392348,3
SN2005bc,219.31271,38.45642,0.0121,NGC5698,219.3112425,38.4542446,1.239,0.034,0.371,0.028,61.09,3.1,0.4,Sb,-20.611,34.019,15.649343750857412,0.261516711989575,0.0212963391877559,NV,115.9454474,0.1848863,40.4134064,0.238937886,6129.129129,2.73e-12,5770.770771,0.690491089,0.312671471,1.066266896,0.0,0.452824774,1.32,0.05,1.97,SN_2005bc_2005-04-11_11-22-33_Lick-3m_KAST_UCB-SNDB_0.csv,1.975200277,7.65616,8.025508,2
SN2005bo,192.42096,-11.09647,0.0137,NGC4708,192.4228335,-11.0930556,1.097,0.039,0.14,0.026,30.37,2.1,0.8,SABa,-20.534,34.033,12.00317468754088,0.3724215937429166,0.0349913796693463,NV,101.5394144,0.34966645,32.40114429,0.428110571,6119.51952,3.244643518,5756.756757,0.667613962,0.221835158,1.111630907,0.02,0.332280585,1.28,0.03,-0.09,2005bo_2005-04-18_05-02-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.449590461,7.3479085,6.7383304,2
SN2005el,77.953,5.19428,0.0148,NGC1819,77.94225,5.2006111,1.186,0.036,0.165,0.025,117.25,-2.0,0.4,S0,-20.794,33.895,15.02090607763557,0.9744588438096018,0.0842182132654095,NV,91.03061477,0.211493878,19.70277968,0.276433914,6131.865199,0.964753573,5778.778779,0.610186437,0.170495165,1.053350754,0.0,0.279414872,1.27,0.05,1.13,SN_2005el_2005-10-04_12-48-57_Lick-3m_KAST_UCB-SNDB_0.csv,1.970069471,6.6020374,5.950682,2
SN2005eq,47.20546,-7.03325,0.029,PGC011767,47.201403,-7.0405944,1.22,0.04,0.52,0.028,9.59,1.4,4.0,S?,-21.518,35.466,30.612311955980413,0.8716769381082007,0.0840978186082938,91T,48.30529398,0.215473813,10.86367275,0.273310203,6154.954955,0.600600601,5766.766767,0.412144938,0.070749948,0.944351117,0.0,0.171662786,0.88,0.05,0.38,SN_2005eq_2005-10-11_09-01-26_Lick-3m_KAST_UCB-SNDB_0.csv,1.943131112,4.2617273,5.92781,1
SN2005hk,6.96196,-1.19792,0.012936,UGC00272,6.957228,-1.1999464,1.128,0.029,0.435,0.023,126.43,6.5,0.8,SABc,-19.383,33.725,10.658500916160682,1.1050745006424432,0.0763107861739026,Iax,56.27514373,1.49247115,21.90863214,1.385955905,6208.942276,1.124611248,5776.776777,0.272338353,0.149682925,0.689493585,0.01,0.549621171,1.56,0.09,-0.78,SN2005hk_2005-11-09_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.450683805,2.7778533,5.5224295,0
SN2005ki,160.11758,9.20233,0.0196,NGC3332,160.1181735,9.1825121,1.138,0.042,0.08,0.027,145.38,-2.7,1.0,E-S0,-21.173,34.538,16.683844281522802,1.841947294592433,0.1870300565045931,NV,101.8198298,0.528325737,19.91769784,0.540617288,6123.923924,0.980776674,5772.772773,0.666324596,0.193269506,1.090839069,0.0,0.290053087,1.41,0.07,1.02,2005ki_2005-12-02_12-28-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.441202286,6.5277534,8.058714,4
SN2005M,144.38483,23.20075,0.022,NGC2930,144.386214,23.2033074,0.697,0.077,0.363,0.036,142.26,4.4,2.7,Sbc,-20.987,35.13,7.650611030624018,1.4610843111602672,0.2834329759844682,91T,52.11914912,0.530516334,9.309027422,0.451013967,6183.71705,2.682649482,5814.814815,0.344665831,0.108713879,0.808574113,0.01,0.315418209,0.87,0.06,-0.74,2005M_2005-02-04_06-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.43781705,3.7433422,6.1738544,1
SN2005na,105.40258,14.13325,0.0263,UGC03634,105.403479,14.135238,1.045,0.044,0.273,0.035,130.78,1.0,0.4,SBa,-20.327,35.153,18.167540026277305,0.4265019198465335,0.0454752485677767,NV,79.44461126,0.520113041,27.69052273,0.954968859,6136.936937,6.188960723,5890.890891,0.548908243,0.165170368,1.029408638,0.03,0.300907064,1.09,0.06,0.36,SN_2005na_2006-01-06_08-39-50_Lick-3m_KAST_UCB-SNDB_0.csv,1.948168044,5.0618253,5.4903226,1
SN2006ax,171.01442,-12.29144,0.0167,NGC3663,170.999625,-12.2963949,1.297,0.029,0.143,0.023,84.67,3.9,0.5,Sbc,-21.649,34.332,21.93290383332829,0.9489323035573588,0.0655284056126318,NV,94.28577799,0.250544131,10.0214439,0.228177092,6143.743744,1.053035291,5798.798799,0.601266518,0.120588597,0.997275797,0.0,0.200557645,1.06,0.03,0.3,2006ax_2006-04-02_07-12-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.44531231,6.914708,6.2930326,2
SN2006az,183.06117,56.17939,0.0311,NGC4172,183.06207,56.177535,1.09,0.069,0.025,0.051,160.0,2.0,2.0,Sab,-21.603,35.68,24.699952965640527,0.1875006552570395,0.0322867438724998,NV,75.92397978,0.620328185,24.08529185,0.854805621,6128.128128,3.133628797,5796.796797,0.53813758,0.16984991,1.070992314,0.01,0.315625438,1.29,0.03,-1.03,2006az_2006-03-31_08-52-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.425127759,4.603841,5.6659746,1
SN2006br,202.5075,13.41578,0.0245,NGC5185,202.509465,13.4160473,1.302,0.04,0.434,0.046,57.58,3.0,0.4,SBb,-21.549,35.254,32.24750609092161,0.1671778502443429,0.0161290174266697,HV,109.7085745,1.512526571,18.9779052,0.940401818,6082.148815,2.464622664,5776.776777,0.453060119,0.150848563,1.288046504,0.01,0.332954847,1.12,0.09,0.23,2006br_2006-04-27_07-55-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.43430867,5.0254726,10.573165,3
SN2006bt,239.12721,20.046,0.0322,PGC056443,239.1402525,20.0524037,1.028,0.067,0.078,0.044,30.24,-0.2,1.0,S0-a,-21.434,35.812,23.33974599182226,1.6478969550414972,0.2748850600263982,NV,128.9313334,0.585907302,42.51003037,0.598893394,6118.451785,2.089085865,5768.768769,0.642419146,0.304350143,1.116671353,0.01,0.473756339,1.0,0.06,0.33,2006bt_2006-05-03_07-55-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.423609021,7.6549926,8.121778,2
SN2006cf,163.51075,46.02675,0.0416,UGC06015,163.5100095,46.0280089,0.902,0.052,0.1,0.024,171.41,5.8,0.6,SABc,-21.786,36.424,22.46446724242467,0.2077810854500893,0.0264292255106377,NV,60.88029757,1.440824265,16.97141376,1.372776807,6135.669002,0.885318596,5904.904905,0.386576081,0.084092719,1.035394167,0.0,0.217532133,9.99,9.99,0.16,2006cf_2006-05-20_03-50-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.410761551,3.67546,6.1683583,1
SN2006cq,201.10458,30.95631,0.0483,IC4239,201.1060335,30.9593108,0.945,0.05,0.143,0.029,132.29,0.0,1.1,S0-a,-22.038,36.889,30.654633201111142,0.5979960641008004,0.0729665554202375,NV,93.2450566,0.574446645,18.75502761,0.761668529,6146.61328,1.54498991,5786.786787,0.662635838,0.151367809,0.983729599,0.01,0.228432874,9.99,9.99,1.51,SN_2006cq_2006-06-05_07-22-04_Lick-3m_KAST_UCB-SNDB_0.csv,1.907254759,6.536585,5.879888,2
SN2006cs,206.39121,35.61017,0.0234,PGC048783,206.3958135,35.6111817,1.111,0.041,0.242,0.028,34.05,-2.0,1.4,S0,-20.499,35.113,19.646994636043125,0.493399584905138,0.0488494400791905,91bg,102.3700928,0.452280586,44.35577841,0.563841721,6126.126126,3.962076105,5780.780781,0.624947478,0.337268921,1.08044315,0.02,0.539675626,9.99,9.99,2.34,SN_2006cs_2006-06-05_08-02-24_Lick-3m_KAST_UCB-SNDB_0.csv,1.953199685,8.5392475,7.8336215,2
SN2006cz,222.15275,-4.74186,0.0418,PGC052882,222.1526265,-4.7361504,1.039,0.059,0.148,0.027,6.83,5.9,0.6,Sc,-21.501,36.159,28.93984000075128,0.6324464288834929,0.0920291401735617,91T,55.61067045,0.518200726,3.512567884,0.461834971,6104.304304,1.682952314,5800.800801,0.411272405,-1.57e-15,1.183457257,0.01,-3.83e-15,9.99,9.99,-1.03,SN_2006cz_2006-06-20_06-23-02_Lick-3m_KAST_UCB-SNDB_0.csv,1.919224976,4.18506,6.686676,1
SN2006D,193.14142,-9.77522,0.0086,PGC043690,193.144368,-9.7765831,1.121,0.036,0.221,0.023,113.54,2.1,0.7,SABa,-19.421,33.083,8.133849401044479,0.2916479368187288,0.0252058548161891,NV,101.8819669,0.078898121,31.58569691,0.114505167,6132.999666,0.499387039,5768.768769,0.655251068,0.242297274,1.047995281,0.0,0.369777763,1.35,0.05,2.44,SN_2006D_2006-01-24_10-26-24_Lick-3m_KAST_UCB-SNDB_0.csv,1.982539637,7.425634,7.1603355,2
SN2006gj,49.39917,-1.69172,0.0283,UGC02650,49.393626,-1.695121,1.038,0.041,0.688,0.027,64.17,2.0,0.3,Sab,-21.175,35.544,20.677409337799894,0.7912991560154088,0.0783432371835509,NV,121.7133216,1.03905761,49.78012983,1.058878081,6116.049383,2.23731126,5768.768769,0.663475976,0.372306829,1.128012355,0.01,0.561145907,1.48,0.05,-0.67,2006gj_2006-09-20_10-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.429010296,7.7427135,7.8929834,2
SN2006gr,338.09446,30.82869,0.0346,UGC12071,338.1019515,30.8355522,1.023,0.044,0.34,0.028,26.01,3.1,0.5,SBb,-21.959,36.073,26.38129591085801,1.234036933515949,0.1315776874196664,NV,83.83583523,1.846991075,26.55365114,1.548986994,6109.376043,1.43748143,5822.822823,0.500644465,0.113598722,1.159515141,0.01,0.22690498,0.81,0.07,-1.74,2006gr_2006-10-03_06-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.420308808,4.201328,6.7654448,-1
SN2006kf,55.46033,8.15694,0.0213,UGC02829,55.4619285,8.1598267,1.027,0.079,0.526,0.057,163.0,-2.0,0.4,S0,-20.942,34.734,17.15916407617363,0.9292884302313418,0.1853923942559327,NV,117.4556799,0.192786681,32.71475513,0.245195553,6113.113113,2.73e-12,5762.762763,0.668994993,0.297272463,1.141873581,0.0,0.444356783,1.55,0.03,-2.32,SN_2006kf_2006-10-30_09-14-24_Lick-3m_KAST_UCB-SNDB_0.csv,1.957742515,6.654023,7.6729403,4
SN2006N,92.13017,64.72364,0.0143,PGC018467,92.126625,64.72375,1.06,0.181,0.208,0.081,60.0,-5.0,2.0,E,-19.924,34.04,12.294082604542451,0.1946722266818872,0.100655346339997,NV,89.73453142,0.416856337,19.83074653,0.470214128,6126.79346,2.483522732,5764.764765,0.536019557,0.156681132,1.077292871,0.01,0.292304879,1.5,0.03,0.32,2006N_2006-01-26_07-40-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.448726186,5.5052843,7.035336,1
SN2006ot,33.77017,-20.76617,0.0529,ESO544-031,33.769194,-20.7677367,0.981,0.04,0.306,0.027,6.24,1.4,1.3,Sa,-21.891,36.713,30.289780369509945,0.2793931167558348,0.0269553439194251,HV,165.7322559,1.802414517,31.32549116,1.456223196,6037.370704,2.58887751,5728.728729,0.615820218,0.14450011,1.499430193,0.01,0.234646583,0.84,0.05,-0.47,2006ot_2006-11-24_05-31-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.39562284,5.5026994,10.63858,3
SN2006S,191.41292,35.08678,0.0321,UGC07934,191.4110535,35.0838147,1.032,0.087,0.314,0.07,84.61,1.5,3.5,Sab,-21.068,35.923,23.620882811893846,0.6756492610719699,0.1498587764964095,NV,62.73158055,0.475412807,6.290199833,0.286508337,6128.795462,0.746102095,5766.766767,0.522483552,0.047417207,1.067842036,0.0,0.090753492,0.93,0.04,0.47,2006S_2006-02-04_11-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.423746955,4.8231626,6.761034,1
SN2006sr,0.89592,23.19617,0.0244,UGC00014,0.8958735,23.2007729,1.018,0.034,0.268,0.022,25.38,5.6,0.9,Sc,-21.825,35.03,16.39442258485121,0.6414533876676805,0.0522360839312273,HV,107.8921031,0.47333964,18.4993509,0.430647492,6102.369036,2.900408917,5740.740741,0.624169112,0.145013343,1.192593065,0.01,0.232330213,1.24,0.06,-0.98,2006sr_2006-12-22_02-52-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.434450691,5.573109,10.09269,3
SN2007A,6.31942,12.88681,0.0171,NGC0105,6.319959,12.8838333,0.909,0.12,0.096,0.057,169.66,1.7,0.7,Sab,-20.452,33.882,7.500602042497658,0.4472833104206504,0.142350927585189,NV,89.62142449,0.208645732,13.08420109,0.263919353,6132.399066,1.210434244,5784.784785,0.61949514,0.118734736,1.050830532,0.01,0.191663708,0.95,0.05,0.21,SN_2007A_2007-01-13_04-59-31_Keck1_LRIS_UCB-SNDB_0.csv,1.964661786,6.6617265,6.0604415,2
SN2007af,215.58763,-0.39378,0.005464,NGC5584,215.5990545,-0.3876275,1.496,0.021,0.126,0.023,153.84,5.9,0.3,SABc,-19.878,32.252,13.18548634038388,0.664010570623897,0.0328966963195219,NV,106.5028995,0.169289838,21.45824443,0.201763167,6124.858192,1.770637192,5772.772773,0.67291513,0.1625081,1.086428679,0.01,0.241498657,1.04,0.05,0.44,SN2007af_2007-03-14_10-33-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.461466042,7.2423215,6.7014155,2
