SN_name,RA,DEC,redshift,host_name,Host_RA,Host_DEC,logd25,e_logd25,logr25,e_logr25,pa,t,t_err,host_type,host_mag,mu,R_host,ratio,ratio_err,SN_type,EW6355,EW6355_err,EW5972,EW5972_err,min6355,min6355_err,min5972,dep6355,dep5972,v_si,v_si_err,R_si,D15,D15_err,phase,filename_csv,Del_Lambda,umap_x,umap_y,DB_label
SN1998co,326.90188,-13.17842,0.0182,NGC7131,326.900388,-13.1827126,1.054,0.047,0.115,0.027,113.75,-2.0,0.5,S0,-19.746,34.388,12.891282503521593,0.6248175814550219,0.0714132340523144,NV,100.1376905,0.458945832,31.31225328,0.384984965,6127.527528,0.800800801,5772.772773,0.604019689,0.215730437,1.073827565,0.0,0.357157955,9.99,9.99,-0.05,1998co_1998-06-23_10-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.472609805,7.174083,7.678609,2
SN1998de,12.02867,27.62458,0.0167,NGC0252,12.0061365,27.6241627,1.209,0.066,0.146,0.049,81.66,-1.2,0.7,S0-a,-21.419,34.435,18.99748587756199,1.491874699241294,0.2448554707644446,91bg,156.8872653,0.871264663,61.68310182,0.773196385,6123.990657,1.11865563,5792.792793,0.66656738,0.463054498,1.090524041,0.01,0.694685207,1.88,0.05,-0.29,1998de_1998-08-01_09-50-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.474782436,8.408885,8.379011,2
SN1998dh,348.66796,4.53725,0.0087,NGC7541,348.6827625,4.533989,1.481,0.028,0.48,0.029,101.6,4.7,0.9,SBc,-21.511,32.904,17.080325809371697,0.5996629158762647,0.0399352242429855,NV,121.4726931,0.243391182,24.61882588,0.326540816,6102.435769,1.076043744,5752.752753,0.723709188,0.162773572,1.192278037,0.01,0.224915718,1.17,0.06,-0.54,1998dh_1998-08-04_08-38-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.486478936,6.12591,9.313151,3
SN1998dk,3.634,-0.73636,0.0133,UGC00139,3.632763,-0.7376102,1.195,0.033,0.372,0.033,82.28,5.2,0.8,SABc,-19.757,33.453,11.253720615338423,0.2209818512220594,0.0174457928262612,HV,102.8479918,0.107008807,16.31561085,0.229018772,6091.358025,0.680549818,5724.724725,0.629193627,0.097331126,1.244572661,0.0,0.15469185,1.05,0.1,-0.1,SN_1998dk_1998-08-31_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.973332996,5.2680078,10.115691,3
SN1998dx,272.79954,49.86131,0.0542,UGC11149,272.79114,49.8644817,1.05,0.041,0.215,0.027,152.51,,,,-21.954,36.906,39.25510337712984,0.816234760953375,0.0808120076821918,NV,110.1487933,1.694170347,34.77395684,1.470302819,6104.971638,3.652701284,5772.772773,0.571004258,0.272631214,1.180306979,0.02,0.47745916,1.32,0.07,-0.78,1998dx_1998-09-15_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.422321479,5.5157332,7.7093973,1
SN1998ef,15.86196,32.23678,0.0177,UGC00646,15.859836,32.2373374,1.219,0.031,0.415,0.028,103.03,2.5,1.3,SBb,-20.218,34.14,16.699217854256307,0.1384243171671905,0.0102419338809384,HV,123.5404606,0.533275485,11.05246909,0.423874062,6086.886887,1.493695648,5772.772773,0.672010633,0.091786758,1.265679527,0.01,0.136585276,1.27,0.07,1.31,1998ef_1998-10-29_07-26-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.473314795,5.612008,10.113079,3
SN1998eg,339.87608,8.60592,0.0249,UGC12133,339.8837565,8.6126394,1.203,0.035,0.886,0.044,40.22,5.8,0.5,Sc,-21.706,35.308,27.56107353481896,1.130829913615979,0.0949070649326529,NV,96.23137143,0.404475398,19.74085935,0.650610357,6128.995662,0.499387039,5786.786787,0.659895646,0.153334773,1.066896952,0.0,0.232362153,1.14,0.05,-0.85,1998eg_1998-10-24_03-36-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.462970824,6.8611526,6.501602,2
SN1998es,24.32292,5.88064,0.0106,NGC0632,24.322932,5.8772368,0.995,0.052,0.063,0.027,168.09,-1.3,1.7,S0-a,-19.594,32.885,5.580795705306616,0.4159690138684576,0.0529102004119033,91T,54.27984538,0.274480843,5.674260598,0.465750305,6140.14014,1.001001001,5770.770771,0.409597769,0.05422267,1.014287301,0.0,0.132380285,0.85,0.04,-0.48,1998es_1998-11-25_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.483690134,4.015215,6.069805,1
SN1998V,275.65583,15.70233,0.0174,NGC6627,275.662047,15.6978607,1.03,0.042,0.046,0.024,74.5,3.1,0.5,SBb,-20.945,34.327,13.711852302807785,0.8961078032409107,0.0909901676157562,NV,80.70427703,0.516083415,20.42987843,0.532076874,6129.062396,2.281657791,5786.786787,0.593125471,0.145683446,1.066581924,0.01,0.245619946,0.99,0.06,-0.49,1998V_1998-03-19_12-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.473767744,5.4812746,6.2303,1
SN1999ac,241.81254,7.97233,0.0095,NGC6063,241.8041085,7.978973,1.212,0.033,0.283,0.023,157.07,5.8,0.5,Sc,-19.851,33.09,9.993005580506804,0.9981016794631872,0.0787968560457057,91T,85.98211407,0.222621345,15.1245959,0.230689057,6138.271605,1.840922819,5830.830831,0.461606102,0.106591654,1.023108081,0.01,0.230914743,1.23,0.03,-1.47,SN1999ac_1999-03-12_12-43-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.485300944,4.2862496,5.7070765,1
