SN_name,EW6355,EW6355_err,EW5972,EW5972_err,min6355,min6355_err,min5972,dep6355,dep5972,v_si,v_si_err,R_si,phase,filename_csv,Del_Lambda
SN2002cr,104.4940706,0.198812822,19.78085439,0.230205382,6146.546547,1.173066122,5778.778779,0.660259877,0.182156291,0.984044627,1.00E-02,0.27588575,0.68,2002cr_2002-05-15_06-43-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.48544832
SN2002cx,34.45983691,1.875494317,23.3920137,1.382924266,6238.238238,10.19187477,5810.810811,0.201631241,0.195609118,0.551196358,5.00E-02,0.970132985,-1.52,2002cx_2002-05-20_04-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.464268851
SN2002de,86.53380427,0.810808673,16.95622457,1.268627052,6112.045379,0.998774077,5754.754755,0.601836562,0.158906538,1.146914027,0.00E+00,0.264036032,-0.13,SN_2002de_2002-06-08_08-58-33_Lick-3m_KAST_UCB-SNDB_0.csv,1.944759798
SN2002es,74.76149901,0.392450314,41.06116902,0.372560896,6227.09376,2.365037724,5854.854855,0.437480805,0.27629978,0.603806009,1.00E-02,0.631570065,1.7,SN_2002es_2002-09-03_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.963516084
SN2002fb,108.2052643,1.000359588,44.38652516,0.932064116,6132.599266,1.361099637,5776.776777,0.640986965,0.29692931,1.049885448,1.00E-02,0.463237673,0.34,2002fb_2002-09-12_10-33-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.476379778
SN2002fk,76.55732313,0.1330203,16.5194844,0.347372265,6147.213881,0.359370357,5848.848849,0.556614413,0.113844768,0.980894348,0.00E+00,0.204530759,-1.46,2002fk_2002-09-29_10-33-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.488249432
SN2002ha,109.6242668,0.159701881,27.61694323,0.268343552,6120.32032,1.760548009,5764.764765,0.653101648,0.228832299,1.107850573,1.00E-02,0.35037777,-1,SN_2002ha_2002-11-02_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.97174913
SN2002hd,111.7938673,0.78871274,26.24794167,0.945169462,6126.326326,6.301272811,5746.746747,0.680790365,0.256916198,1.079498066,3.00E-02,0.377379309,0.52,2002hd_2002-10-29_12-28-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.448706573
SN2002he,121.9279487,0.148577359,21.80973471,0.196176084,6094.027361,0.998774077,5752.752753,0.702856922,0.184748136,1.231971547,0.00E+00,0.262853121,0,SN_2002he_2002-11-08_00-00-00_Keck1_LRIS_UCB-SNDB_0.csv,1.951443228
SN2002hu,75.11487935,1.06146375,10.92763688,1.000206665,6155.488822,3.939532104,5780.780781,0.506552021,0.111787379,0.941830895,2.00E-02,0.220682919,-0.75,2002hu_2002-11-13_06-00-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.445355025
SN2002jy,87.38904068,0.665759365,2.022306143,0.521262853,6128.995662,1.709209006,5782.782783,0.601650059,0.063256355,1.066896952,1.00E-02,0.105138118,0.12,2002jy_2002-12-26_02-52-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.470587782
