SN_name,RA,DEC,redshift,host_name,SN_type
SN2007ba,229.17763,7.39661,0.0385,UGC09798,91bg
SN2007bc,169.81071,20.80903,0.0208,UGC06332,NV
SN2007bd,127.88867,-1.19944,0.031,UGC04455,HV
SN2007ci,176.44104,19.77053,0.018,NGC3873,NV
SN2007co,275.765,29.89708,0.027,PGC061808,NV
SN2007cp,190.553,-17.40214,0.0366,IC0807,HV
SN2007F,195.81283,50.61881,0.0236,UGC08162,NV
SN2007fb,359.21821,5.50883,0.018029,UGC12859,NV
SN2007hu,254.12483,27.97789,0.0355,NGC6261,HV
SN2007kk,55.59692,39.24178,0.041045,UGC02828,NV
SN2007S,150.13025,4.40728,0.0139,UGC05378,91T
SN2008A,24.57242,35.37047,0.0162,NGC0634,Iax
SN2008ae,149.01333,10.49967,0.0301,IC0577,Iax
SN2008ar,186.158,10.83817,0.0261,IC3284,NV
SN2008bf,181.01208,20.24517,0.0246,NGC4055,NV
SN2008Q,21.23846,9.55042,0.0081,NGC0524,NV
SN1991bg,186.26546,12.87106,0.003045,NGC4374,91bg
