objname,pgc,objtype,al1950,de1950,al2000,de2000,l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,m21,e_m21,mfir,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,itc,ubtc,bvtc,bri25,vrot,e_vrot,mg2,e_mg2,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs
UGC07228,39013,G ,12.185233,46.7718992,12.2268833,46.4939722,141.5434547,69.2436588,69.2362412,4.4334915,0,Sb,,,,,2.9,1.9,,1.05,0.04,0.446,0.032,180,,,,,15.04,0.321,,,,,11.136,0.051,,,,,,,,,,,,,,7568,18,7568,18,0.081,0.608,75.37,0.07,1.039,14.294,,,,23.33,,,,,,,7621.3,7623.2,7791,7779.5,35.276,0.139,,,35.276,0.139,-20.981,0.35
UGC07357,39640,G ,12.2782948,22.7089844,12.3204013,22.4314768,243.9049209,81.3132406,92.4650664,-2.0108203,0,Sc,B,,,,5.3,0.6,,0.962,0.064,0.165,0.032,79.15,24.595,0.193,15.751,0.012,15.305,0.359,,,14.005,0.23,12.268,0.192,16.153,0.151,,,,18.04,0.46,,,,,6681.6,3.1,6686.2,3.8,6683.4,1.8,0.116,0.285,48.02,0.02,0.966,14.868,13.954,,,23.537,24.27,0.65,,,16.132,1.264,6620,6658.3,6823.8,6991.4,34.989,0.159,35.322,0.044,35.298,0.166,-20.43,0.395
UGC07934,43011,G ,12.7205505,35.3569418,12.7607369,35.0838147,131.424697,81.9487382,81.9302302,7.0892457,0,Sab,,,,,1.5,3.5,,1.032,0.087,0.314,0.07,84.61,,,17.254,0.019,15.356,0.806,,,14.45,0.114,12.007,0.097,16.157,0.297,,,,192.75,14.32,,,,,9681,6,9665.2,3.3,9668.8,5.2,0.072,0.332,66.77,0.04,1.026,14.855,14.419,,,23.861,209.75,15.76,,,16.115,1.26,9681.6,9699.3,9871.9,9918.9,35.798,0.11,35.94,0.04,35.923,0.071,-21.068,0.809
UGC08162,45085,G ,13.0178591,50.8889062,13.0544829,50.6207597,118.2415346,66.3996878,67.1208324,13.3717218,0,Sc,B,,M,,5.9,0.7,,0.84,0.065,0.044,0.026,,22.542,0.35,15.803,0.233,15.362,0.432,,,14.076,0.156,12.289,0.139,,,,,,,,,,,,,,7080.6,3.9,7080.6,3.9,0.075,0.077,25.69,0.02,0.845,15.178,14.043,,,23.214,,,,,,,7174.6,7167.1,7334.7,7252.2,35.143,0.148,35.11,0.02,35.11,0.02,-19.932,0.433
UGC08399,46657,G ,13.3238105,31.4986019,13.3626254,31.2372891,66.57639,82.2136701,87.3710928,13.6639715,0,Sb,B,R,M,,3,0.4,,0.934,0.05,0.221,0.027,48,21.799,0.22,16.551,0.082,14.945,0.3,,,13.837,0.093,11.546,0.064,16.299,0.267,12.595,,,41.28,2.36,,,,,7263.2,4.9,7221.9,6.2,7247.3,14.5,0.061,0.323,55.8,0.03,0.931,14.506,13.81,,,22.989,49.91,2.88,,,16.269,1.763,7263.7,7283.5,7455.5,7489,35.18,0.146,35.393,0.026,35.393,0.026,-20.887,0.302
UGC08472,47318,G ,13.4458126,11.5339764,13.4871227,11.2758641,334.0084131,71.8290879,107.7306026,11.147878,0,S0,,R,,,-1.9,0.6,,0.988,0.101,0.54,0.072,44.3,22.511,0.286,16.339,0.013,15.12,0.339,,,13.386,0.07,10.749,0.139,,,,,,,,,,,,,,6577,3.9,6577,3.9,0.146,0,90,0.83,0.982,14.876,13.322,,,23.712,,,,,,,6508.4,6554.4,6710.5,6865.5,34.949,0.162,35.223,0.049,35.2,0.137,-20.325,0.366
UGC08527,47686,G ,13.5069186,9.7768562,13.5484025,9.5204448,333.9485325,69.8546444,109.6920267,11.59648,0,Sd,,,,,7.8,1,,1.028,0.045,0.607,0.027,15.76,22.325,0.184,16.767,0.019,15.052,0.32,,,13.535,0.258,10.897,0.062,15.703,0.169,12.922,,,188.53,5.04,,,,,6978.5,3.6,6984.1,3.4,6981.4,2.9,0.135,1.096,90,0.83,1.016,13.804,13.475,,,22.714,188.53,,,,14.877,1.073,6908,6955.7,7109.2,7269.6,35.08,0.153,,,35.08,0.153,-21.276,0.355
UGC08539,47740,G ,13.5201072,33.2984568,13.5580628,33.0424047,68.5237358,79.1604565,85.9431865,16.4057777,0,SBb,B,,M,,3,1.7,,1.192,0.048,0.333,0.029,3.52,22.316,0.548,15.689,0.008,14.291,0.277,,,12.875,0.072,10.371,0.067,15.289,0.263,13.809,,,188.59,10.15,,,,,7369,6.1,7333.7,3,7340.6,10.1,0.082,0.475,66.42,0.04,1.187,13.679,12.839,,,23.45,205.76,11.14,,,15.247,1.568,7372.9,7388.7,7560.4,7567.1,35.216,0.144,,,35.216,0.144,-21.537,0.312
UGC08561,47872,G ,13.5448743,34.2994381,13.5825717,34.0440967,72.0555698,78.370199,84.9533112,16.8503643,0,Sc,,,M,,5.8,0.7,,1.073,0.045,0.13,0.023,135.1,21,0.27,15.086,0.047,13.837,0.315,,,12.947,0.071,10.638,0.051,15.15,0.281,11.877,,,118.37,5.04,,,,,7119.2,5.5,7089.8,3.8,7099.3,9.9,0.05,0.229,43.04,0.02,1.072,13.526,12.925,,,22.685,173.43,7.59,,,15.129,1.602,7137.1,7151.2,7323,7321.2,35.143,0.148,,,35.143,0.148,-21.617,0.348
UGC08584,3167699,? ,13.560889,-0.7808486,13.60372,-1.0357,325.6664943,59.84445,120.2777345,9.6267856,1,,,,,,,,,,,,,,,,,,15.4,0.5,,,,,,,,,,,,,,,,,,,,17858.6,45,17858.6,45,0.119,,,,,15.102,,,,,,,,,,,17743.5,17802.7,17939,18155.9,37.122,0.061,,,37.122,0.061,-22.02,0.504
UGC08670,48478,G ,13.6592124,41.1264025,13.6950668,40.8744714,89.1457705,72.7919276,77.9733428,18.9316373,0,SABc,B,,,D,6.6,0.7,,0.987,0.047,0.065,0.03,97.4,23.319,0.585,16.153,0.492,15.386,0.273,,,14.059,0.134,12.023,0.186,,,,,,,,,,,,,,18030.9,5.7,18030.9,5.7,0.03,0.117,31.09,0.02,0.987,15.175,14.046,,,23.928,,,,,,,18102.9,18106.3,18277.3,18222.1,37.165,0.059,,,37.165,0.059,-21.99,0.279
UGC08690,48693,G ,13.7007138,5.0263834,13.7427333,4.7758002,334.8077913,64.3083348,115.139653,13.198447,0,Sc,,,,D,5.9,0.4,,0.833,0.049,0.22,0.102,155.71,22.709,0.389,15.565,0.033,15.125,0.362,,,13.749,0.1,11.908,0.146,16.072,0.21,,,,100.03,4.47,,,,,7015.3,3.8,6938,33,7014.3,6.8,0.107,0.388,54.23,0.03,0.834,14.598,13.702,,,22.597,123.29,5.79,,,16.043,1.445,6929.9,6981.3,7126.8,7298.1,35.08,0.152,,,35.08,0.152,-20.482,0.392
UGC09391,52091,G ,14.5537908,59.5560986,14.5769423,59.3382333,101.1807628,53.2139979,57.4473481,26.0779272,0,Sd,B,,M,D,8.1,0.5,,0.98,0.05,0.097,0.035,29.75,21.502,3.993,16.869,0.687,14.877,0.072,14.357,0.072,14.773,0.19,,,15.361,0.168,,0.005,0.47,49.87,1.7,,,,,1912.4,5.6,1904.4,2.5,1905.7,2.6,0.044,0.177,41.23,0.02,0.98,14.651,14.753,,0.479,23.321,75.66,2.78,,,15.34,0.689,2074.9,2046.6,2200.1,1986,32.546,0.493,33.001,0.025,33.001,0.025,-18.35,0.076
UGC09425,3167828,? ,14.5949989,30.6971197,14.63078,30.4814,47.4719278,66.5046965,89.9531646,29.815262,1,,,,,,,,,,,,,,,,,,15,0.5,,,,,,,,,,,,,,,,,,,,10408.8,33,10408.8,33,0.055,,,,,14.841,,,,,,,,,,,10476.6,10485.8,10648,10583,35.961,0.102,36.144,0.035,36.125,0.092,-21.284,0.508
UGC09766,54200,G ,15.1706564,61.3106553,15.1883898,61.1233292,98.1283265,48.7207529,53.9119403,29.8367331,0,SBbc,B,R,,,3.8,0.7,,1.115,0.069,0.445,0.054,170.81,22.476,0.282,16.649,0.084,15.298,0.297,,,14.092,0.09,11.704,0.106,,,,,,,,,,,,,,13525.4,5.3,13525.4,5.3,0.066,0.678,73.8,0.06,1.103,14.466,14.063,,,23.844,,,,,,,13716,13681.4,13828.1,13575.4,36.541,0.078,,,36.541,0.078,-22.075,0.307
UGC09798,54516,G ,15.2374058,7.5801173,15.2782833,7.397,9.891204,50.3420494,118.6950585,36.0247225,0,S0-a,,,,,-0.1,0.4,,1.066,0.045,0.319,0.034,166.26,,,,,15.337,0.321,,,,,10.696,0.095,,,,,,,,,,,,,,11300,70.2,11300,70.2,0.16,0.112,71.08,0.05,1.066,14.896,,,,24.23,,,,,,,11307.2,11336.5,11465.5,11469.3,36.13,0.096,35.807,0.094,35.966,0.161,-21.07,0.359
UGC10018,55880,G ,15.7226484,67.9169182,15.7276472,67.7608056,102.6098556,41.9275953,45.2897721,29.6801299,0,SBbc,B,R,,,3.6,0.6,,1.032,0.045,0.054,0.025,,,,,,14.943,0.321,,,,,11.04,0.16,16.793,0.272,,,,24.06,1.17,,,,,8750.5,6.2,8750,10.2,8750.4,3.9,0.132,0.087,28.96,0.02,1.042,14.667,,,,23.746,49.69,2.6,,,16.772,2.105,8966.9,8922,9057.1,8761.3,35.613,0.12,,,35.613,0.12,-20.946,0.342
UGC10030,56025,G ,15.7404891,-0.8312028,15.78345,-0.9851433,6.5486448,39.3037285,131.831428,40.6731954,0,Sab,B,R,M,,2.3,0.6,,1.116,0.035,0.271,0.022,168.99,,,16.394,0.015,15.127,0.348,,,13.052,0.118,10.561,0.153,16.04,0.092,13.165,,,94.97,4.33,,,,,8959.9,5.3,8916.5,2.5,8924.2,11.8,0.425,0.352,61.58,0.04,1.145,14.261,12.865,,,24.043,107.98,4.96,,,16.005,1.744,8925.3,8956,9060,9057.4,35.613,0.12,35.46,0.04,35.475,0.076,-21.214,0.356
UGC10244,57341,G ,16.1381126,43.2585242,16.1654054,43.1290549,68.1771986,47.0977804,69.8217368,45.4893762,0,Sbc,,,,,3.8,1.2,S3,1.018,0.045,0.52,0.028,128.96,22.069,0.26,17.026,0.092,15.411,0.29,,,14.088,0.063,10.849,0.081,,,,,,,,,,,,,,9857.2,3.8,9857.2,3.8,0.064,0.782,78.73,0.08,1.003,14.501,14.06,,,23.355,,,,,,,10035.8,10011.2,10151.2,9898.1,35.863,0.107,35.761,0.037,35.772,0.035,-21.271,0.292
UGC10301,57641,G ,16.2279215,31.4447817,16.260492,31.3213049,51.0803445,45.6438122,85.9174771,50.5446855,0,Sb,B,,,,3.1,0.6,,1.028,0.043,0.583,0.028,10.24,22.188,0.552,17.41,0.183,15.744,0.314,,,14.851,0.068,12.12,0.103,16.125,0.125,,,,141.95,3.38,,,,,6664.2,4.1,6654.8,3.7,6659,3.8,0.144,0.797,86.48,0.26,1.018,14.753,14.788,,,23.711,142.22,3.39,,,15.862,1.109,6807.2,6794.2,6927.2,6711.8,35.016,0.157,,,35.016,0.157,-20.263,0.351
UGC10432,58395,G ,16.4831673,41.317271,16.510845,41.2105694,65.2316007,43.3399364,69.7893368,49.78115,0,Sb,,,,,3,0.4,,1.157,0.034,0.718,0.029,179.18,24.785,0.426,17.775,0.518,15.893,0.359,,,14.228,0.478,11.489,0.045,,,,,,,,,,,,,,9735.9,6.6,9735.9,6.6,0.051,0.937,90,0.83,1.133,14.832,14.205,,,24.337,,,,,,,9923.6,9896.6,10029,9755.7,35.835,0.108,,,35.835,0.108,-21.003,0.375
UGC10483,58525,G ,16.6017866,76.1300268,16.57469,76.029503,108.9527111,34.2905262,35.4151045,26.9237973,1,Sbc,,,,,3.8,3,,1.032,0.1,0.346,0.06,130.62,,,,,16,0.5,,,,,11.855,0.07,,,,,,,,,,,,,,12201.6,60,12201.6,60,0.22,0.539,66.67,0.04,1.039,15.163,,,,24.291,,,,,,,12439.6,12384.4,12504,12172.8,36.318,0.087,36.2,0.04,36.22,0.059,-21.058,0.503
UGC10553,58981,G ,16.7596554,40.3328554,16.7874437,40.2450288,64.095854,40.1621756,68.5740259,52.9813052,0,Sab,B,,M,,2.3,0.9,,0.992,0.092,0.319,0.051,146.64,21.773,0.385,16.21,0.008,14.898,0.282,,,13.52,0.06,10.986,0.085,15.911,0.6,,,,276.05,15.7,,,,,8915.5,6.5,8852.5,3.1,8864.3,17.4,0.088,0.406,66.13,0.04,0.987,14.315,13.481,,,23.127,301.86,17.35,,,15.87,1.555,9060.9,9031.3,9157.1,8865.3,35.633,0.119,,,35.633,0.119,-21.318,0.306
UGC10704,59458,G ,17.0808161,79.105836,17.0303504,79.0377371,111.4862625,31.7060204,32.1720831,25.276801,0,Sbc,,,,,3.8,3,em,1.008,0.048,0.273,0.037,154.41,,,,,15.743,0.41,,,,,11.475,0.047,,,,,,,,,,,,,,19319.5,40.6,19319.5,40.6,0.195,0.429,60.43,0.03,1.015,14.994,,,,24.037,,,,,,,19562.2,19504,19617.8,19278.8,37.326,0.055,37.05,0.03,37.112,0.138,-22.118,0.433
UGC10738,59769,G ,17.1440998,5.9125117,17.1849502,5.8521138,26.4997576,24.9515621,134.7327023,62.6812978,0,Sbc,,,,,4.1,0.3,,1.08,0.044,0.53,0.028,49.22,,,,,15.434,0.322,,,12.872,0.064,10.206,0.028,15.813,0.091,13.913,,,281,7.87,,,,,6719.2,4.3,6715.9,2.1,6716.6,1.2,0.686,0.819,78.8,0.09,1.123,13.885,12.57,,,23.649,286.45,8.05,,,15.728,1.843,6821.3,6820.7,6896.8,6712.8,35.016,0.157,35.179,0.048,35.165,0.082,-21.28,0.332
UGC10743,59782,G ,17.1516972,8.0544561,17.191859,7.9945757,28.6680202,25.8255295,130.3999173,63.5560984,0,Sa,,,,,1,0.5,,1.134,0.041,0.338,0.029,112,22.74,0.389,,,14.725,0.323,,,,,10.402,0.056,16.216,0.186,12.045,,,89.15,4.08,,,,,2568,4.6,2744,45.6,2569.8,13,0.695,0.287,70.2,0.05,1.186,13.711,,,,23.78,94.75,4.36,,,16.166,2.456,2683.1,2680.2,2759.6,2563.7,33.036,0.393,33.053,0.042,33.053,0.042,-19.343,0.326
UGC11064,61173,G ,17.9284812,27.8386264,17.9613995,27.8346306,53.4476921,23.3167038,71.6351947,72.0249941,1,Sc,,,,,5.9,0.4,,1.25,0.065,0,0.047,,,,,,14.404,0.327,,,,,10.191,0.115,15.791,0.224,13.69,,,101.16,3.13,,,,,7043,7.3,7042.8,4.7,7042.8,2.5,0.247,0,0,0.02,1.273,14.125,,,,24.392,,,,,15.769,1.644,7257.3,7221.7,7304.6,6957.1,35.131,0.149,35.046,0.036,35.046,0.036,-20.92,0.329
UGC11149,61514,G ,18.1653403,49.8516624,18.186076,49.8644817,77.6761484,26.6733901,38.699859,54.7053955,0,,,,,,,,,1.05,0.041,0.215,0.027,152.51,,,,,15.288,0.173,14.18,0.1,,,11.092,0.19,,,,,,,,,,180.94,8.74,,,16254.6,14.5,16254.6,14.5,0.175,,53.7,0.03,,14.951,,,,24.28,,,,,,,16516.3,16461.9,16560.6,16159.7,36.947,0.066,36.887,0.044,36.906,0.037,-21.954,0.177
UGC11198,61722,G ,18.2791153,16.2278028,18.3164436,16.2494966,44.0776098,14.3695647,111.643556,81.3243615,0,Sab,,,,,2,0.3,,1.103,0.042,0.615,0.029,49.8,,,,,15.03,0.322,,,,,10.565,0.062,,,,,,203.01,8.7,,,,,4529,6.4,4516.3,9.5,4525,5.7,0.802,0.667,90,0.83,1.154,13.516,,,,23.496,203.01,,,,,,4720.2,4689.3,4744.1,4410.3,34.189,0.229,34.026,0.05,34.026,0.05,-20.51,0.326
UGC11260,61966,G ,18.4767985,34.0669853,18.5070622,34.1027526,62.3220089,18.8528328,42.0875151,70.7910924,1,SBa,B,,,,1.1,0.6,,0.957,0.053,0.193,0.03,163,,,,,15.497,0.277,,,,,11.181,0.089,,,,,,,,,,,,,,6184,10.2,6184,10.2,0.28,0.179,54.24,0.03,0.976,14.961,,,,23.806,,,,,,,6433.5,6384.7,6458.8,6056.5,34.867,0.168,35.2,0.044,35.179,0.167,-20.218,0.323
UGC11491,63761,G ,19.8563899,58.8471258,19.8719236,58.9776506,91.8319677,15.6853874,15.9767277,45.4568427,0,SABc,B,,,,5.9,0.4,,0.987,0.045,0.518,0.033,160.8,,,,,16,0.5,,,,,11.488,0.045,,,,,,,,,,,,,,10013,42.4,10013,42.4,0.454,0.896,75.63,0.07,1.009,14.605,,,,23.677,,,,,,,10310.5,10237.9,10310.4,9852.8,35.89,0.106,,,35.89,0.106,-21.285,0.511
UGC11723,66579,G ,21.2950896,-1.8967529,21.3381807,-1.6842554,50.3337088,-33.4643735,273.8569279,50.1164301,0,Sb,,,,,3,0.4,,1.197,0.03,0.691,0.027,28.43,,,,,14.813,0.325,,,12.766,0.106,9.994,0.045,15.451,0.094,12.17,,,204.62,6.04,,,,,4895.7,3.9,4872.3,30,4895.3,3.4,0.208,0.908,90,0.83,1.189,13.661,12.675,,,23.494,204.62,,,,14.624,0.964,5100.8,5045.2,4964.1,4571.8,34.299,0.219,34.26,0.03,34.26,0.03,-20.599,0.326
UGC11758,66880,G ,21.4760861,13.7655068,21.5160074,13.986199,66.748686,-26.3291544,299.1181443,52.3279581,0,Sbc,,,,,4.2,1.4,,1.123,0.039,0.715,0.027,60.29,,,,,15.426,0.323,,,,,10.357,0.065,16.121,0.42,,,,302.64,11.02,,,,,8614,6.5,8613.4,3.4,8613.5,0.4,0.391,1.089,90,0.83,1.131,13.89,,,,23.551,302.64,,,,15.295,1.405,8876.7,8804.6,8748.3,8280.1,35.53,0.124,35.08,0.18,35.385,0.225,-21.495,0.394
UGC11799,67246,G ,21.693671,43.4643938,21.7264229,43.6942103,90.7505977,-7.1325711,343.4287356,44.6788027,0,SBc,B,,,,4.5,1.5,,1.07,0.041,0.163,0.028,32.26,,,,,16,0.5,,,,,10.369,0.086,16.042,0.272,,,,158.05,5.5,,,,,5340.9,4.9,5341.9,9.6,5341.1,3.2,1.94,0.273,48.1,0.02,1.246,13.758,,,,24.786,212.36,7.6,,,16.02,2.262,5656.4,5570.3,5576.1,5064.2,34.553,0.195,34.45,0.54,34.541,0.183,-20.783,0.532
UGC11994,68617,G ,22.3105033,33.0431392,22.3480805,33.2953014,90.0770953,-19.8016255,327.101367,40.5331192,0,Sbc,,,,,4.1,0.4,,1.322,0.036,0.865,0.041,121,,,,,14.891,0.329,,,12.462,0.064,10.153,0.027,15.318,0.201,12.989,,,199.47,4.92,,,,,4879.2,4.1,4897,60,4879.3,3.1,0.336,1.26,90,0.83,1.319,13.263,12.314,,,23.81,199.47,,,,14.492,1.228,5183,5095.2,5062.9,4555.3,34.335,0.214,34.04,0.036,34.04,0.036,-20.777,0.331
UGC12071,69095,G ,22.5015775,30.5777939,22.5401301,30.8355522,90.7490249,-23.2100237,323.6084815,38.3569277,0,SBb,B,,,,3.1,0.5,,1.023,0.044,0.34,0.028,26.01,22.526,0.362,16.294,0.019,15.051,0.271,,,13.573,0.072,,,16.641,0.21,,,,185.08,6.85,,,,,10396.2,3.8,10396.9,2.6,10396.7,,0.369,0.49,66.89,0.04,1.044,14.114,13.41,,,23.349,201.23,7.5,,,16.599,2.485,10694.9,10607,10564.8,10063,35.943,0.103,36.092,0.039,36.073,0.074,-21.959,0.281
UGC12089,69180,G ,22.537266,50.1542926,22.5717278,50.4129444,101.7428172,-6.7305641,347.4179861,34.1995474,0,Sbc,,,,,4,0.3,,0.988,0.096,0.421,0.047,171.54,,,,,15.651,0.32,,,,,11.637,0.069,16.41,0.092,,,,89.78,5.98,,,,,9313,8.5,9312.3,14.9,9312.8,5.1,0.946,0.659,71.85,0.05,1.06,13.985,,,,23.587,94.48,6.32,,,16.356,2.372,9624.8,9535.8,9543.8,9047.6,35.722,0.114,,,35.722,0.114,-21.737,0.339
UGC12133,69428,G ,22.6171686,8.3517479,22.6589171,8.6126394,76.4771635,-42.0599052,296.0991424,34.8197066,0,Sc,,,,,5.8,0.5,,1.203,0.035,0.886,0.044,40.22,23.646,0.389,,,15.631,0.276,,,13.622,0.242,10.841,0.119,16.37,0.092,,,,211.9,3.15,,,,,7422.3,3.4,7391,60,7422.2,2.5,0.521,1.475,90,0.83,1.216,13.602,13.393,,,23.732,211.9,,,,15.544,1.942,7661.4,7586.6,7490.4,7055.9,35.192,0.145,35.317,0.041,35.308,0.063,-21.706,0.283
UGC12158,69533,G ,22.6624664,19.7350066,22.7029139,19.997,85.9247679,-33.4261637,310.0253744,36.0193854,0,Sb,,,,D,3.1,0.4,,1.014,0.046,0.041,0.026,,,,,,15.246,0.32,,,,,11.014,0.151,15.759,0.129,,,,68.29,1.91,,,,,9289.6,3.9,9288.1,3.4,9288.8,1.6,0.238,0.063,25.47,0.02,1.035,14.875,,,,23.987,158.8,5.22,,,15.738,0.862,9562,9478.6,9406.7,8931.2,35.693,0.115,35.46,0.03,35.475,0.116,-20.6,0.341
UGC12461,70868,G ,23.2223792,4.855514,23.264774,5.1284793,83.7479145,-50.3299591,294.7409108,25.220662,0,S0,,,,,-1.9,0.5,,0.938,0.118,0.091,0.063,155,,,,,15.649,0.304,,,,,10.828,0.145,15.563,0.255,,,,56.49,2.57,,,,,9894.4,4.5,9884.4,5.6,9890.5,4.2,0.306,0,41.56,0.02,0.969,15.194,,,,24.081,85.15,4.29,,,15.541,0.347,10106.1,10033,9918.2,9520.7,35.807,0.109,,,35.807,0.109,-20.613,0.323
UGC12538,71166,G ,23.3121223,33.1254323,23.3527194,33.3995556,102.0858197,-25.791706,326.3249075,27.9715004,0,Sc,,,,,4.7,1.5,,0.961,0.067,0.502,0.037,21.25,,,,,14.656,0.319,,,13.226,0.083,11.316,0.078,16.15,0.197,13.361,,,129.34,3.36,,,,,4900.1,3.9,4903.5,2.3,4902.6,1.7,0.305,0.817,76.15,0.07,0.969,13.507,13.092,,,22.282,133.21,3.48,,,16.081,2.574,5192.5,5102.1,5053.3,4571.7,34.335,0.215,33.44,0.24,33.937,0.447,-20.43,0.55
UGC12859,72995,G ,23.9049727,5.2300014,23.9476517,5.5083549,98.8957012,-54.7961327,297.9217302,15.458577,0,Sbc,,,,,4,0.3,,1.135,0.045,0.435,0.027,98,,,,,15.424,0.323,,,,,10.974,0.061,16.131,0.15,,,,162.48,4.83,,,,,5402.6,4.2,5402,60,5402.6,2.8,0.24,0.68,72.83,0.06,1.14,14.469,,,,24.071,170.06,5.09,,,16.075,1.606,5601.4,5528.2,5405,5039.8,34.472,0.201,,,34.472,0.201,-20.002,0.38
PGC066592,66592,G ,21.3140683,44.1866605,21.3451333,44.3997222,88.2183932,-3.8102679,347.1278298,47.9763516,0,Sm,,,,,9,2,,1.16,0.153,0.42,0.063,160.67,21.591,0.324,16.34,0.06,15.3,0.06,13.85,0.06,,,8.657,0.101,,,,1.09,1.47,,,,,,,,,3995,108.6,3995,108.6,3.228,0.774,90,0.83,1.447,11.293,,0.347,0.67,23.982,,,,,,,4309.9,4226.2,4241.6,3731.5,33.952,0.262,33.626,0.06,33.626,0.06,-22.333,0.085
PGC029953,29953,G ,10.2068576,55.9166291,10.2617382,55.6675086,156.4610835,50.0849442,52.3317429,-7.1321345,0,Sb,B,R,,,3,0.6,,1.014,0.048,0.157,0.029,30.39,22.395,0.777,15.763,0.306,14.518,0.317,,,13.274,0.054,10.945,0.068,,,,,,,,,,,,,,7307.7,2.5,7307.7,2.5,0.048,0.232,47.97,0.02,1.012,14.182,13.253,,,23.064,,,,,,,7381.2,7367.3,7510,7472.1,35.192,0.144,35.332,0.053,35.315,0.05,-21.133,0.321
NGC5283,48425,G ,13.6614998,67.9241705,13.684925,67.6721389,115.814454,48.7642436,49.6169925,18.8739173,0,S0,,,,,-2,0.5,S2,1.077,0.041,0.064,0.026,131.5,,,,,14.246,0.284,14.05,0.1,,,10.02,0.069,,,,,,,,,,140.66,13.31,,,3134,50.4,3134,50.4,0.082,0,34.93,0.02,1.084,14.117,,,,23.377,,,,,,,3309,3274.3,3421.2,3203.8,33.49,0.319,33.229,0.112,33.258,0.105,-19.141,0.303
IC3917,44205,G ,12.907342,22.6437514,12.9482037,22.3735616,317.8199548,85.0868092,94.9433005,6.33522,0,Sc,,,,,5.1,2.4,,0.741,0.065,0.14,0.025,163.85,20.88,0.185,16.582,0.029,15.624,0.32,,,14.981,0.073,13.038,0.088,16.425,0.207,,,,107.06,4.88,,,,,6665.2,5.3,6653.5,2.2,6655.2,3.4,0.146,0.241,44.66,0.02,0.749,15.201,14.917,,,22.802,152.31,7.11,,,16.403,1.202,6614.1,6649.4,6817.3,6942.8,34.989,0.159,35.773,0.079,35.619,0.392,-20.418,0.506
NGC3392,32512,G ,10.79554,66.0467738,10.850834,65.7815552,140.4976981,47.0306884,47.0594929,2.4980315,0,E,,R,,,-4.2,1.4,S1,0.955,0.148,0.128,0.059,117.45,21.6,0.511,15.956,0.167,14.587,0.36,,,13.021,0.061,10.773,0.053,,,,,,,,,,150.95,38.7,,,3231.6,1.6,3231.6,1.6,0.058,0,58.27,0.03,0.959,14.481,12.996,,,23.219,,,,,,,3360.6,3332.6,3473.6,3341.2,33.515,0.312,,,33.515,0.312,-19.034,0.477
NGC7549,70832,G ,23.213349,18.7689684,23.2547968,19.0417755,93.5559647,-38.284203,309.9750434,28.1596314,0,Sc,B,,,,5.9,0.8,,1.267,0.034,0.393,0.035,33,23.306,0.321,15.986,0.014,14.077,0.154,,,12.776,0.089,10.29,0.027,16.41,0.092,12.307,,,111.66,3.7,,,,,4686.1,3.5,4709.2,3.6,4697.1,8.3,0.633,0.684,68.4,0.05,1.311,12.739,12.497,,,23.389,120.09,4.02,,,16.365,3.626,4958.2,4874.1,4790,4335.4,34.208,0.227,,,34.208,0.227,-21.469,0.274
PGC057064,57064,G ,16.0534324,17.9656288,16.0909018,17.8310327,31.7200115,44.5055956,107.210004,49.4407216,0,S?,,,M,,2.6,4.2,,0.841,0.058,0.562,0.028,118.42,,,18.991,0.064,17.507,0.5,,,15.832,0.074,12.621,0.255,,,,,,,,,,,,,,10261.1,4.1,10261.1,4.1,0.217,0.705,87.86,0.42,0.838,16.509,15.737,,,24.633,,,,,,,10353.7,10358.4,10483.1,10347,35.934,0.104,36.371,0.079,36.21,0.218,-19.702,0.546
PGC045981,45981,G ,13.1883539,7.2272102,13.2303467,6.9626618,318.708607,69.1459604,110.9841546,6.3807805,0,Sc,,,,,5.1,2.6,,0.85,0.066,0.25,0.028,146.75,,,17.087,0.02,15.675,0.499,,,15.106,0.078,13.415,0.205,17.132,0.21,,,,109.81,4.85,,,,,7185,4.3,7178.6,3.6,7181.2,2.9,0.14,0.428,57.53,0.03,0.853,15.068,15.045,,,23.186,130.15,5.82,,,17.101,2.032,7082.2,7135.6,7286.5,7489.8,35.131,0.149,36.075,0.032,36.075,0.032,-21.007,0.5
PGC019325,19325,G ,6.5568214,49.8929017,6.6212806,49.8501389,165.5906578,18.2462658,23.3138666,-24.3240236,0,,,,,,,,,0.66,0.077,0.16,0.028,113.5,,,,,16.02,0.586,,,,,13.282,0.134,,,,,,,,,,,,,,5786,60,5786,60,0.505,,47.21,0.02,,15.457,,,,23.06,,,,,,,5868.7,5834.7,5902.3,5838.6,34.663,0.185,34.71,0.04,34.71,0.04,-19.253,0.587
