objname,pgc,objtype,al1950,de1950,al2000,de2000,l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,m21,e_m21,mfir,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,itc,ubtc,bvtc,bri25,vrot,e_vrot,mg2,e_mg2,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs
UGC03595,19884,G ,6.864556,55.4656183,6.9334517,55.4007027,160.9022689,22.6695779,26.5990799,-18.8900582,0,Sb,B,R,,,3,0.4,,1.072,0.082,0.042,0.06,,,,,,15.136,0.321,,,,,11.304,0.053,,,,,,,,,,,,,,7908,26,7908,26,0.229,0.064,25.79,0.02,1.092,14.783,,,,24.162,,,,,,,8008.9,7972.9,8054.2,7963.3,35.345,0.135,35.316,0.056,35.32,0.052,-20.537,0.325
UGC03611,19913,G ,6.903826,20.5044496,6.9532556,20.4374444,195.1720622,10.3797859,27.3158222,-53.8496662,0,S0-a,,,,,0,0.7,,0.983,0.047,0.367,0.029,64.5,,,,,15.052,0.32,,,,,10.507,0.054,16.458,0.713,12.166,,,194.64,12.26,,,,,4985.5,8.7,5085,33,4991.9,18.3,0.363,0.137,76.49,0.07,1.002,14.477,,,,23.496,200.18,12.66,,,16.387,1.909,4922.6,4924.9,4956.7,5129.5,34.281,0.219,34.458,0.076,34.439,0.072,-19.962,0.328
UGC03634,20020,G ,6.9796679,14.2075172,7.0268986,14.135238,201.3967151,8.607529,29.6614588,-60.1113286,0,SBa,B,R,,,1,0.4,,1.045,0.044,0.273,0.035,130.78,,,,,15.5,0.5,,,,,10.112,0.051,,,,,,,,,,,,,,7891,25,7891,25,0.337,0.239,63.65,0.04,1.066,14.826,,,,24.172,,,,,,,7789.3,7800.1,7823.6,8044.7,35.287,0.139,35.153,0.032,35.153,0.032,-20.327,0.501
UGC03683,20220,G ,7.0759914,46.1953347,7.1372129,46.1158128,171.1237651,21.9512894,29.0464313,-28.1031803,0,S0,,,,,-2.1,0.6,,1.301,0.067,0.191,0.062,48.34,22.597,0.389,,,14.052,0.227,,,,,9.177,0.039,,,,,,,,,,286.13,6.97,,,5717.4,23.3,5717.4,23.3,0.4,0,60.56,0.03,1.339,13.567,,,,24.281,,,0.33,0.005,,,5769.4,5745,5820.4,5809.5,34.632,0.187,,,34.632,0.187,-21.065,0.294
UGC03725,20364,G ,7.1311776,49.9461743,7.1949098,49.8627198,167.3863656,23.5309078,29.3987766,-24.3250347,1,E-S0,,,,,-3,0.5,,1.162,0.038,0.271,0.026,142.66,,,,,14.155,0.244,,,,,9.631,0.084,,,15.193,,,,,,,279.83,18.57,,,6170.8,27.1,6170.8,27.1,0.291,0,90,0.83,1.189,13.772,,,,23.673,,,0.323,0.01,,,6239.8,6212,6293,6255.3,34.81,0.173,34.683,0.046,34.691,0.044,-20.919,0.248
UGC03770,20513,G ,7.2078895,23.514465,7.2582365,23.4261556,194.1688426,15.4766577,33.8535082,-50.5461192,0,IAB,B,,,D,9.8,1,,0.946,0.05,0.48,0.028,33.94,23.373,0.389,,,15.358,0.319,,,,,11.251,0.232,15.335,0.232,,,,148.56,5.39,,,,,6378.2,3.6,6377.3,4.3,6377.8,2.1,0.291,0.888,90,0.83,0.954,14.176,,,,22.843,148.56,,,,14.509,0.332,6313.1,6316.6,6363.6,6533.7,34.839,0.171,34.936,0.033,34.936,0.033,-20.76,0.321
UGC03787,20602,G ,7.253612,9.7806947,7.299325,9.6893889,207.2226391,10.2557497,39.4254264,-63.9742377,0,E-S0,,,M,,-3,0.5,,0.936,0.068,0.21,0.028,180,,,,,15.56,0.319,,,,,10.816,0.073,,,,,,,,,,,,,,8580,36,8580,36,0.304,0,68.73,0.05,0.967,15.127,,,,23.958,,,,,,,8448.8,8468.9,8494.5,8762.3,35.466,0.128,35.914,0.077,35.796,0.224,-20.669,0.389
UGC03845,21020,G ,7.383844,47.1946871,7.4451944,47.0939444,171.0001185,25.2699342,32.4857733,-26.7947611,0,Sbc,B,,,,3.7,0.6,,1.145,0.037,0.16,0.023,1.98,21.911,0.389,,,13.522,0.323,,,,,10.915,0.219,15.64,0.092,13.452,,,90.15,4.79,,,,,3031.9,4,3034,3.6,3033,2.1,0.267,0.253,48.02,0.02,1.164,12.983,,,,22.705,121.28,6.55,,,15.618,2.636,3082.9,3060.8,3145,3139.6,33.303,0.345,33.536,0.036,33.536,0.036,-20.554,0.325
UGC03963,21589,G ,7.6282131,51.805519,7.6922667,51.6883056,166.4636677,28.5181766,34.1882711,-21.844442,0,Sd,,,,,7.9,0.8,,1.131,0.037,0.665,0.027,53.75,,,,,16.5,0.5,,,,,11.635,0.042,,,,,,,,,,,,,,20236,46,20236,46,0.241,1.201,90,0.83,1.127,15.007,,,,24.56,,,,,,,20304.3,20279.4,20373.6,20339.8,37.41,0.053,,,37.41,0.053,-22.403,0.503
UGC04195,22695,G ,8.0051906,66.9248784,8.0852278,66.7828611,149.1019481,31.9996019,33.3118763,-6.4914902,0,Sb,B,R,,,3,0.4,,1.187,0.038,0.276,0.026,15.05,22.903,0.389,,,14.515,0.325,,,,,10.375,0.068,15.634,0.12,,,,170.06,6.68,,,,,4879.6,5.3,4888.3,5.5,4883.8,4.1,0.244,0.4,61.33,0.03,1.199,13.834,,,,23.736,193.83,7.69,,,15.599,1.766,5021.2,4982,5090.4,4942.5,34.352,0.213,34.181,0.035,34.181,0.035,-20.347,0.326
