SN_name,zhel,tmax(B),+/-,ref.,Dm15,Dm15_err,ref.,M_B,+/-,B-V,+/-,Bm-Vm,+/-,Phot.ref.
SN1998an,0.0188,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1998aq,0.0039,50931.2,0.4,B_M_SA_SN,1.11,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07
SN1998bn,0.0061,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1998bp,0.0105,50936.4,0.2,M_SN,1.79,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN1998bu,0.0029,50952.7,0.5,B_M_SA_SN,1.03,0.02,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07
SN1998cn,0.009,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1998co,0.0182,50987.5,0,M,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN1998cs,0.0326,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1998de,0.0167,51026.7,0.2,M_SN,1.88,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2_Jha07
SN1998dh,0.0087,51029.9,0.9,B_M_SA_SN,1.17,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN1998dk,0.0133,51056.1,1.5,Jha07,1.05,0.1,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN1998dm,0.0065,51059.9,0.6,B_M_SA,0.9,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2_Gan10
SN1998dx,0.0542,51071.9,0.5,B_M_SA_SN,1.32,0.07,B,-19.26,0.08,-0.11,0.05,-0.09,0.06,CfA2
SN1998eb,0.0128,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1998ec,0.0199,51089.5,1.6,SA,1.08,0.09,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2_Gan10
SN1998ef,0.0177,51113.9,0.3,B_M_SA,1.27,0.07,B,-19.3,0.07,-0.08,0.06,-0.03,0.06,CfA2
SN1998eg,0.0249,51110.9,0.4,M_SA_SN,1.14,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN1998es,0.0106,51142.7,0.9,B_M_SA_SN,0.85,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2_Gan10
SN1998ex,0.0365,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999X,0.0251,51203,1,Jha07,1.11,0.08,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN1999aa,0.0144,51232.4,0.9,B_M_SA_SN,0.78,0.02,B,-19.64,0.07,-0.17,0.04,-0.13,0.04,CfA2_Jha07
SN1999ac,0.0095,51250.5,0.7,B_M_SA_SN,1.23,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2_Gan10
SN1999be,0.0189,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999bh,0.0172,51272.1,0.5,B,1.38,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN1999bt,0.0499,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999bv,0.0187,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999by,0.0022,51309.2,0.5,B_M_SN,1.97,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07_Gan10
SN1999cb,0.0291,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999cc,0.0314,51315.6,0.3,B_M_SA_SN,1.35,0.06,B,-19.14,0.08,-0.08,0.03,-0.07,0.03,CfA2_Jha07
SN1999ce,0.0775,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999cf,0.0245,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999cl,0.0078,51342.5,0.6,B_SA_SN,1.17,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2_Jha07
SN1999cm,0.0452,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999cp,0.0094,51363.2,0.1,B_M_SA_SN,0.98,0.07,B,-19.48,0.09,-0.14,0.05,-0.13,0.05,Jha07
SN1999cw,0.0124,51354.7,0.5,Buf05,0.94,0.05,Buf05,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2_Buf05
SN1999da,0.0122,51371.1,0.4,M_SN,1.9,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07
SN1999dq,0.0141,51436,0.7,B_M_SA_SN,0.86,0.04,B,-19.55,0.07,-0.08,0.05,-0.06,0.04,CfA2_Gan10
SN1999ef,0.0393,51457.3,1.3,Jha07,1.06,0.05,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN1999ej,0.0137,51483.1,0.9,B_M_SA_SN,1.48,0.03,B,-19.23,0.08,-0.18,0.04,-0.17,0.04,CfA2_Gan10
SN1999ek,0.0175,51482.1,0.4,B_M_SA_SN,1.14,0.03,B,-19.33,0.07,-0.12,0.04,-0.1,0.04,CfA2_Jha07
SN1999gd,0.0183,51519.4,1.6,M_SA_SN,1.18,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN1999gh,0.0077,51513,0.9,Jha07,1.69,0.05,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN1999gj,0.0172,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999gm,0.0424,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1999gp,0.0267,51550.1,1.3,B_M_SA,0.87,0.04,B,-19.64,0.07,-0.12,0.04,-0.08,0.04,CfA2_Jha07_Gan10
SN2000A,0.0292,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2000B,0.0191,51562.4,1.3,Jha07,1.46,0.05,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN2000E,0.0047,51577.2,0.5,B_M_SA_SN,1.09,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07
SN2000K,0.0547,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2000O,0.0235,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2000bh,0.023,51636.6,0.9,B_SA,1.11,0.09,B,-19.43,0.07,-0.11,0.06,-0.1,0.06,Jha07
SN2000bk,0.0254,51647,0.5,B,1.46,0.1,B,-19.17,0.09,-0.11,0.07,-0.1,0.08,Jha07
SN2000ce,0.0163,51667.3,0.5,B,1,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2_Jha07
SN2000cf,0.0364,51672.3,0.8,B_M_SA_SN,1.16,0.05,B,-19.44,0.08,-0.16,0.06,-0.16,0.06,CfA2_Jha07
SN2000cm,0.0072,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2000cn,0.0235,51707.9,0.1,B_M_SA_SN,1.51,0.08,B,-19.01,0.11,-0.08,0.07,-0.01,0.06,CfA2
SN2000cp,0.0342,51719.9,1.2,B_M_SA_SN,1.09,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2000cu,0.0196,51743.8,0.2,B_M_SA_SN,1.48,0.04,B,-19.18,0.08,-0.14,0.05,-0.11,0.05,Gan10
SN2000cv,0.0204,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2000cw,0.0301,51747.9,0,B_M_SA_SN,1.22,0.04,B,-19.4,0.08,-0.18,0.04,-0.17,0.04,Gan10
SN2000cx,0.0081,51752.8,0.3,B_M_SA,0.99,0.02,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2_Jha07
SN2000dg,0.0385,51790.2,1.3,SA,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2000dk,0.0175,51812.6,0.2,B_M_SA_SN,1.62,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2
SN2000dl,0.0611,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2000dm,0.0149,51815,0.4,B_M_SA_SN,1.46,0.04,B,-19.18,0.09,-0.14,0.05,-0.14,0.05,Gan10
