SN_name,zhel,tmax(B),+/-,ref.,Dm15,Dm15_err,ref.,M_B,+/-,B-V,+/-,Bm-Vm,+/-,Phot.ref.
SN2002et,0.0276,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002eu,0.0376,52519.3,0.2,B_M,1.52,0.08,B,-19.17,0.1,-0.17,0.07,-0.08,0.05,CfA3_Gan10
SN2002ey,0.0385,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002fb,0.0156,52529.1,1.3,B_M,1.77,0.11,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2002fk,0.0075,52547.9,0.4,B_M_SA_SN,1.13,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2002ha,0.0144,52580.4,0.6,B_M_SA_SN,1.22,0.04,B,-19.24,0.07,-0.15,0.04,-0.12,0.05,CfA3
SN2002hd,0.035,52575.1,0.5,B_SA,1.16,0.11,B,-19.39,0.1,-0.07,0.06,-0.01,0.06,CfA3
SN2002he,0.0246,52585.8,0.2,B_M_SA_SN,1.44,0.06,B,-19.08,0.09,-0.08,0.06,-0.07,0.07,CfA3_Gan10
SN2002hu,0.0374,52592,0.1,B_M_SA_SN,1.05,0.03,B,-19.59,0.06,-0.14,0.03,-0.13,0.04,CfA3
SN2002hv,0.0234,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002hw,0.0175,52595.4,0.1,B_M_SN,1.44,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2002jg,0.0157,52609.6,0.1,B_M_SA_SN,1.42,0.07,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2002jm,0.0181,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002jy,0.0196,52634,0.4,B_M_SA_SN,0.88,0.06,B,-19.58,0.08,-0.15,0.05,-0.14,0.05,CfA3
SN2002kf,0.0193,52638.2,0.1,B_M_SA_SN,1.2,0.07,B,-19.3,0.08,-0.13,0.06,-0.13,0.05,CfA3
SN2003D,0.023,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2003F,0.0173,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003K,0.0218,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2003M,0.0242,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003S,0.0398,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003U,0.0281,52677.3,0.1,B_M_SA_SN,1.46,0.1,B,-19.12,0.1,-0.07,0.06,-0.05,0.06,CfA3
SN2003W,0.0201,52679.7,0,B_M_SA_SN,1.14,0.04,B,-19.31,0.09,-0.01,0.04,0.03,0.05,CfA3
SN2003Y,0.0169,52676.7,0.2,B_M,1.65,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2003ae,0.0328,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2003af,0.02,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003ag,0.0226,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003ai,0.0362,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2003ar,0.0252,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003bt,0.0275,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003cg,0.0041,52729.4,0.4,B_SA_SN,1.26,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2003ch,0.025,52725.3,0.8,M_SA_SN,1.22,0.07,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2003cq,0.0333,52738.2,0.9,B_M_SA_SN,1.2,0.06,B,-19.34,0.09,-0.15,0.05,-0.11,0.06,CfA3_Gan10
SN2003de,0.0383,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003dt,0.0144,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003du,0.0064,52766.1,1,B_M_SA_SN,1.07,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Jha07
SN2003eh,0.0255,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003ek,0.036,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003ep,0.0158,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003ez,0.048,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003fa,0.0404,52806.2,0.5,B_M_SA_SN,0.8,0.05,B,-19.65,0.07,-0.11,0.05,-0.09,0.05,CfA3
SN2003fd,0.0597,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003ge,0.0335,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003gj,0.0338,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003gn,0.0346,52852.5,0.2,B_M_SA_SN,1.22,0.04,B,-19.21,0.08,-0.18,0.05,-0.17,0.05,Gan10
SN2003gq,0.0214,52847.9,0.6,Gan10,1.69,0.19,Gan10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2003hm,0.0138,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003hu,0.075,52901.1,2.1,M_SA_SN,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2003hv,0.0056,52889.1,1.1,B_M_SN,1.31,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2003hw,0.042,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003hx,0.0071,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003hz,0.0202,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003ia,0.0298,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003ic,0.0553,52905.8,1.5,M_SA,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2003if,0.0056,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003im,0.0196,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003in,0.0214,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003it,0.0251,52934.5,0.2,B_M_SA_SN,1.36,0.09,B,-19.17,0.1,-0.08,0.05,-0.06,0.05,CfA3
SN2003iu,0.0414,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003iv,0.0343,52933.9,0.4,M_SA,1.65,0.07,Pri09,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2003iz,0.0482,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003jz,0.0159,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003kc,0.0334,52977.4,2.9,M_SA,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2003kd,0.03,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003kf,0.0074,52980.8,0.4,B_M_SA_SN,1.1,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2003kg,0.0262,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003kh,0.025,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003kz,0.0505,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003lc,0.0346,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2003lq,0.0243,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004B,0.0157,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004H,0.0317,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004J,0.025,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004K,0.0361,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2004L,0.0323,53028.9,0.3,B_M_SA_SN,1.12,0.07,B,-19.29,0.09,-0.08,0.06,-0.06,0.06,CfA3
SN2004P,0.0237,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004ab,0.0058,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004ap,0.0239,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2004as,0.031,53085.4,0.6,B_M_SA_SN,0.92,0.08,B,-19.47,0.09,-0.14,0.05,-0.14,0.05,CfA3
SN2004at,0.0223,53092,0.8,B_M_SA_SN,1.05,0.03,B,-19.49,0.06,-0.16,0.03,-0.17,0.05,Gan10
SN2004av,0.0237,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004az,0.0288,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004bc,0.0239,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004bd,0.0089,53094,0.3,SA,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2004bg,0.0208,53109.5,0.5,B_M_SA,1.05,0.09,B,-19.46,0.08,-0.07,0.06,-0.05,0.07,CfA3
SN2004bj,0.0501,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004bk,0.023,53112.8,0.3,B_SA,1.02,0.07,B,-19.51,0.08,-0.1,0.05,-0.09,0.09,Gan10
SN2004bo,0.0234,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004bp,0.0302,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004ca,0.0178,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004ct,0.0334,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004cu,0.0248,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004da,0.016,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004db,0.0112,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004dt,0.0194,53239.8,0.7,B_M_SA_SN,1.14,0.04,B,-19.39,0.08,-0.07,0.05,-0.07,0.05,Gan10
SN2004ef,0.031,53263.7,0.2,B_M_SA_SN,1.39,0.04,B,-19.19,0.08,-0.09,0.04,-0.06,0.05,CfA3_Gan10
SN2004fd,0.0173,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2004fu,0.0092,53325.6,0.2,M_SA_SN,1.08,0.07,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2004fz,0.0173,53333.3,0.3,B_M_SA_SN,1.36,0.05,B,-19.29,0.08,-0.12,0.05,-0.14,0.05,Gan10
SN2004gc,0.0321,53323.1,0.4,Bur11,1.08,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10
SN2004gs,0.0266,53355.8,0.1,B_SA,1.41,0.11,B,-19.25,0.16,-0.21,0.06,-0.08,0.05,Gan10
SN2004gz,0.0137,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2005A,0.0191,53379.5,0.2,Bur11,1.11,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10
SN2005G,0.0231,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2005M,0.022,53405.1,1.4,B_M_SA_SN,0.87,0.06,B,-19.74,0.08,-0.25,0.05,-0.15,0.04,CfA3_Gan10
SN2005am,0.0084,53435.3,0.5,B_M_SA_SN,1.3,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2005ao,0.0384,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2005bc,0.0121,53469.5,0.4,B_M_SA_SN,1.32,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2005bd,0.0371,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2005be,0.035,53459.4,0.5,Bur11,1.49,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10
SN2005bl,0.024,53482.1,0.3,Tau08,1.93,0.1,Tau08,-99.99,9.99,-9.99,9.99,-9.99,9.99,Tau08
SN2005bo,0.0137,53478.3,0.7,B_M_SA_SN,1.28,0.03,B,-19.28,0.07,-0.12,0.04,-0.13,0.06,Gan10
SN2005bv,0.0357,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2005cc,0.0075,53518.6,0.5,B,1.94,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2005cf,0.0065,53533.7,0.2,B_M_SA_SN,1.1,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2005ch,0.027,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2005cn,0.0068,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2005cr,0.0214,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2005ej,0.0379,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2005el,0.0148,53646.4,0.2,B_M_SA_SN,1.27,0.05,B,-19.18,0.06,-0.08,0.04,-0.06,0.05,CfA3
SN2005eq,0.029,53654,0.4,B_M_SA_SN,0.88,0.05,B,-19.63,0.07,-0.11,0.05,-0.1,0.05,CfA3
SN2005eu,0.0349,53659.7,0,B_M_SA_SN,0.89,0.06,B,-19.66,0.08,-0.09,0.06,-0.06,0.06,CfA3
SN2005hc,0.0459,53667.7,0.4,B_M_SA_SN,1.03,0.04,B,-19.57,0.08,-0.17,0.04,-0.16,0.04,CfA3
SN2005hf,0.0431,53661.8,0.5,B,1.31,0.07,B,-19.21,0.08,-0.11,0.07,-0.1,0.07,CfA3
SN2005hk,0.013,53684.6,0.5,Phi07,1.56,0.09,Phi07,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Phi07
SN2005iq,0.034,53687.4,0.3,B_M_SA_SN,1.19,0.06,B,-19.32,0.08,-0.15,0.04,-0.13,0.04,CfA3
SN2005kc,0.0151,53697.3,0.2,B_M_SN,1.24,0.04,B,-19.39,0.08,-0.14,0.05,-0.07,0.05,CfA3
SN2005ke,0.0045,53698.8,0.7,M_SN,1.82,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2005ki,0.0196,53705.5,0.3,B_M_SA_SN,1.41,0.07,B,-19.19,0.06,-0.08,0.03,-0.07,0.03,CfA3
SN2005ls,0.0211,53714.2,0.4,B_M_SA_SN,0.98,0.03,B,-19.59,0.09,-0.08,0.05,-0.04,0.07,CfA3
SN2005lu,0.0322,53710,0.6,Bur11,0.74,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10
SN2005lz,0.04,53736.1,0.1,B_M_SA,1.34,0.08,B,-19.22,0.09,-0.09,0.05,-0.09,0.05,CfA3
SN2005mc,0.0253,53733.6,0.2,M_SN,1.63,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2005mz,0.0176,53745.8,1.4,M_SN,1.83,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2005na,0.0263,53740.9,1.3,B_M_SA,1.09,0.06,B,-19.37,0.07,-0.1,0.06,-0.08,0.06,CfA3_Gan10
SN2006B,0.0163,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006D,0.0086,53757,0.3,B_M_SA_SN,1.35,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006E,0.0026,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006H,0.014,53752.6,0.4,M_SN,1.83,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006N,0.0143,53760.6,0.2,B_M_SA_SN,1.5,0.03,B,-19.18,0.08,-0.09,0.04,-0.07,0.04,CfA3
SN2006R,0.0341,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006S,0.0321,53769.2,0.1,B_M_SA_SN,0.93,0.04,B,-19.64,0.08,-0.14,0.04,-0.12,0.04,CfA3
SN2006X,0.0052,53786.1,0.8,B_SA_SN,1.18,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006ac,0.0227,53781.1,0.2,B_M_SA_SN,1.2,0.03,B,-19.21,0.07,-0.01,0.04,0.01,0.05,CfA3
SN2006ak,0.0381,53779.7,0.5,B,1.22,0.08,B,-19.28,0.09,-0.09,0.06,-0.08,0.07,CfA3
SN2006al,0.0679,53787.7,0.3,M_SA_SN,1.35,0.07,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006ap,0.0225,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006ax,0.0167,53826.8,0.3,B_M_SA_SN,1.06,0.03,B,-19.5,0.06,-0.1,0.03,-0.09,0.03,CfA3
SN2006az,0.0311,53826.4,0.4,B_M_SA_SN,1.29,0.03,B,-19.28,0.06,-0.14,0.04,-0.1,0.04,CfA3
SN2006bb,0.0252,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006bk,0.0495,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006bm,0.0685,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006bq,0.0219,53846.9,0.8,B_SA_SN,1.29,0.06,B,-19.18,0.09,-0.09,0.07,-0.07,0.07,CfA3
SN2006br,0.0245,53852.1,1.1,B_SA_SN,1.12,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006bt,0.0322,53857.4,0.6,B_M_SA,1,0.06,B,-19.47,0.09,-0.13,0.06,-0.08,0.06,CfA3_Gan10
SN2006bu,0.081,53856.4,0.2,M,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006bw,0.03,53852.3,3.5,B_SA,1.28,0.09,B,-19.29,0.1,-0.11,0.07,-0.1,0.08,CfA3
SN2006bz,0.0268,53862.6,0.2,M,2.09,0.16,CfA3,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006cc,0.0326,53873.3,0.1,B_M_SA_SN,0.97,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006cf,0.0416,53872.4,0.2,M,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006cj,0.0675,53878.5,1.2,M_SA_SN,0.81,0.06,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006cm,0.0163,53885.4,0.5,B,1.04,0.07,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006cp,0.0223,53896.7,0,B_M_SA_SN,0.98,0.09,B,-19.47,0.09,-0.09,0.05,-0.06,0.05,CfA3
SN2006cq,0.0483,53889.8,0,M,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006cs,0.0234,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006cz,0.0418,53907.3,0.1,SA,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006da,0.0412,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006dt,0.0263,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006dv,0.033,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006em,0.0192,53976.7,0.7,B_M,1.5,0.15,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2006eq,0.0495,53975.3,0.5,Bur11,1.62,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10
SN2006et,0.0224,53993.9,0.5,B_M_SA_SN,1.02,0.05,B,-19.52,0.08,-0.07,0.06,-0.05,0.06,CfA3
SN2006eu,0.0236,53985.9,2.2,B_M_SA,1.27,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2006ev,0.0286,53988.6,0.5,Str11,1.32,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Str11
SN2006gj,0.0283,53999.1,0.2,M_SA_SN,1.48,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006gr,0.0346,54012.4,0.5,B_M_SA_SN,0.81,0.07,B,-19.64,0.08,-0.12,0.05,-0.08,0.06,CfA3
SN2006gt,0.0448,54001.9,0.2,Bur11,1.66,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10
SN2006gz,0.0234,54019.7,0.5,Hic07,0.69,0.04,Hic07,-99.99,9.99,-9.99,9.99,-9.99,9.99,Hic07
SN2006hb,0.0153,53999.6,0.4,B_SA,1.44,0.09,B,-19.17,0.09,-0.11,0.07,-0.17,0.06,CfA3_Gan10
SN2006je,0.038,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006ke,0.0172,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006kf,0.0213,54040.7,0,B_M_SA_SN,1.55,0.03,B,-19.09,0.09,-0.11,0.04,-0.1,0.04,CfA3
SN2006le,0.0174,54047.4,0.3,B_M_SA_SN,0.88,0.03,B,-19.65,0.04,-0.14,0.03,-0.09,0.03,CfA3
SN2006lf,0.0132,54045,0.2,B_M_SA_SN,1.3,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2006mo,0.0372,54046.8,0.7,M_SA,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006nz,0.0441,54057.9,0.1,M,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006oa,0.06,54066.2,0.1,B_M_SA_SN,0.89,0.07,B,-19.59,0.1,-0.08,0.05,-0.07,0.05,CfA3
SN2006oq,0.0211,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006or,0.0207,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2006ot,0.0529,54063.7,0.5,Str11,0.84,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Str11
SN2006ou,0.0135,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006sr,0.0244,54092.1,0.4,B_M_SA_SN,1.24,0.06,B,-19.18,0.08,-0.09,0.05,-0.06,0.05,CfA3
SN2006su,0.0468,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2006te,0.0315,54096.8,0.4,B_M_SA_SN,1.04,0.07,B,-19.42,0.08,-0.12,0.06,-0.11,0.06,CfA3
SN2007A,0.0171,54112.6,0.5,Str11,0.95,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11
SN2007B,0.0211,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2007F,0.0236,54123.4,0,B_M_SA_SN,0.96,0.03,B,-19.57,0.06,-0.13,0.04,-0.12,0.04,CfA3
SN2007H,0.0426,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007S,0.0139,54144.1,0.1,B_M_SA_SN,0.94,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
SN2007ae,0.0644,54154,0.1,B_M_SA_SN,0.98,0.06,B,-19.58,0.08,-0.08,0.06,-0.02,0.06,CfA3
